index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024570.1,1,1450,1,1321,91.1034,0.911034,15.2,1,562,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,0.911034482758621,0.284792186624496,0.312603081457622,0.01,KUB-30-MGE-S132
1,NR_024841.1,1,1460,4,1447,99.1096,3.59658,20,1,888807,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sanguinis,3.59657534246575,0.670223882429374,0.186350574813728,0.04,KUB-30-MGE-S132
2,NR_025127.1,1,1453,1,1235,84.9966,0.849966,16,1,140626,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lachnobacterium,Lachnobacterium bovis,0.849965588437715,0.357228097181031,0.420285364537682,0.01,KUB-30-MGE-S132
3,NR_025230.1,1,1411,3,1398,99.0787,2.85188,19.8,1,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,2.85187810063785,0.442464505955807,0.155148463693748,0.03,KUB-30-MGE-S132
4,NR_025514.1,1,1518,499,1508,99.3412,467.96,19.4,32.8,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,467.9604743083,79.9855195713978,0.17092366548612,5.28,KUB-30-MGE-S132
5,NR_025518.1,1,1494,4445,1471,98.4605,4105.69,19.5,41.4,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,4105.69344042838,896.932835529272,0.218460742026489,47.03,KUB-30-MGE-S132
6,NR_025525.1,1,1475,5,1443,97.8305,4.75593,20.3,52.4,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,4.75593220338983,0.830284805568812,0.174578772375481,0.05,KUB-30-MGE-S132
7,NR_025567.1,1,1498,12,1456,97.1963,11.2116,18.9,4.17,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,11.2116154873164,2.11996866201752,0.189086814867653,0.13,KUB-30-MGE-S132
8,NR_025796.1,1,1435,2,1336,93.101,1.81533,17.1,1,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,1.81533101045296,0.537351528435158,0.296007463840481,0.02,KUB-30-MGE-S132
9,NR_025903.1,1,1537,2,1482,96.4216,1.87508,21,1,1379,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,unclassified Bacillales family,Gemella,Gemella haemolysans,1.8750813272609,0.425440653018662,0.226891840280945,0.02,KUB-30-MGE-S132
10,NR_025904.1,1,1536,1,1446,94.1406,0.941406,20,1,29391,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,unclassified Bacillales family,Gemella,Gemella morbillorum,0.94140625,0.234939263757089,0.249562039509605,0.01,KUB-30-MGE-S132
11,NR_025981.1,1,1477,4,1437,97.2918,3.63778,19.5,6.25,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,3.63777928232905,0.868451849676966,0.238731319927951,0.04,KUB-30-MGE-S132
12,NR_026075.1,1,1468,25,1420,96.7302,20.5824,16.8,5.76,13335,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,20.5824250681199,6.1511869253695,0.298856276896986,0.26,KUB-30-MGE-S132
13,NR_026100.1,1,1499,9,1449,96.6644,8.41227,19.2,1.33,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,8.41227484989993,1.68183853852486,0.199926722382932,0.1,KUB-30-MGE-S132
