index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_025230.1,1,1411,2,1343,95.1807,1.68675,36.7,3,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,1.68674698795181,0.558329682643743,0.331009740424505,0.01,MAR-37-MGE-L224
1,NR_025514.1,1,1518,58,1406,92.6219,52.1482,37.9,21.6,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,52.1482213438735,15.0548469955826,0.288693393707688,0.33,MAR-37-MGE-L224
2,NR_025518.1,1,1494,6508,1374,91.9679,5803.99,39,27.7,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,5803.98661311914,1889.01240596269,0.325468084590827,37.44,MAR-37-MGE-L224
3,NR_025567.1,1,1498,3,1386,92.5234,2.75234,39.4,24,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,2.75233644859813,0.79876191037476,0.290212306995244,0.02,MAR-37-MGE-L224
4,NR_025796.1,1,1435,1,1326,92.4042,0.924042,37.6,1,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,0.92404181184669,0.265023560821108,0.286809057148031,0.01,MAR-37-MGE-L224
5,NR_026075.1,1,1468,103,1337,91.0763,80.904,39.4,4.13,13335,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,80.9039509536785,36.162206118914,0.446977010302237,0.59,MAR-37-MGE-L224
6,NR_026312.1,1,1482,1,1129,76.1808,0.761808,41.4,47,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,0.761808367071525,0.426120759652771,0.559354265549519,0.01,MAR-37-MGE-L224
7,NR_026331.1,1,1488,24,1389,93.3468,22.213,40.4,14.2,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,22.2130376344086,5.96331911737843,0.268460316662908,0.14,MAR-37-MGE-L224
8,NR_026332.1,1,1487,2,1387,93.2751,1.85205,41.4,1,622,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,1.85205110961668,0.510621533046291,0.275705962105968,0.01,MAR-37-MGE-L224
9,NR_026476.1,1,1463,124,1354,92.5496,111.437,37.5,2.23,83771,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,111.436773752563,32.7674505420975,0.294045218994361,0.71,MAR-37-MGE-L224
10,NR_027549.1,1,1473,3,1364,92.6001,2.47318,40.2,0.667,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,2.47318397827563,0.983281014646815,0.397576979021344,0.02,MAR-37-MGE-L224
11,NR_028862.1,1,1537,22,1431,93.1034,20.1744,38.6,58.6,209880,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,20.174365647365,5.54628195224685,0.274917291041132,0.13,MAR-37-MGE-L224
12,NR_028866.1,1,1486,1,1142,76.8506,0.768506,34.3,1,752555,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella bryantii,0.768506056527591,0.421929257834169,0.549025286463726,0.01,MAR-37-MGE-L224
13,NR_029097.1,1,1374,55,1282,93.3042,50.2118,38.7,1.25,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,50.2117903930131,14.1791001832633,0.282385871371682,0.32,MAR-37-MGE-L224
14,NR_029137.1,1,1514,76,1382,91.2814,67.9373,39.4,12.6,78257,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pullorum,67.9372523117569,21.6104586404387,0.318094387174661,0.44,MAR-37-MGE-L224
15,NR_029207.1,1,1426,1,1335,93.6185,0.936185,35.8,1,907,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,0.936185133239832,0.244508597236752,0.261175475400455,0.01,MAR-37-MGE-L224
16,NR_036856.1,1,1517,15,1380,90.969,13.4034,37.4,7.07,78448,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pullorum,13.403427818062,4.29111358373172,0.320150460164315,0.09,MAR-37-MGE-L224
17,NR_037115.2,1,1518,4,1358,89.4598,3.00856,40.3,2.5,1689,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium dentium,3.00856389986825,1.45666668486156,0.484173424046387,0.02,MAR-37-MGE-L224
18,NR_040866.1,1,1425,1,1192,83.6491,0.836491,31.9,0,820,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,0.836491228070175,0.369959054958454,0.442274876942782,0.01,MAR-37-MGE-L224
19,NR_040867.1,1,1529,1,1203,78.6789,0.786789,35.9,45,302911,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium animalis,0.786788750817528,0.409709650708699,0.520736538598172,0.01,MAR-37-MGE-L224
20,NR_040877.1,1,1494,30,1401,93.7751,24.3521,38.7,1.53,537011,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri,24.3520749665328,7.62960394613104,0.313304059576708,0.17,MAR-37-MGE-L224
21,NR_041277.1,1,1490,13,1396,93.6913,11.4369,37.9,50.2,484018,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius,11.4369127516779,3.24472706501368,0.283706550488257,0.07,MAR-37-MGE-L224
22,NR_041313.1,1,1485,1,1369,92.1886,0.921886,37,60,338188,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides finegoldii,0.921885521885522,0.268442046703736,0.291188049200181,0.01,MAR-37-MGE-L224
23,NR_041342.1,1,1488,402,1397,93.8844,371.272,38.8,9.52,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,371.272177419355,97.6183459781848,0.26292933302116,2.31,MAR-37-MGE-L224
24,NR_041343.1,1,1492,164,1401,93.9008,149.218,39,52.5,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,149.218498659517,40.0652115098787,0.268500299023236,0.94,MAR-37-MGE-L224
25,NR_041351.1,1,1493,16,1400,93.7709,14.7515,37.9,26.3,357276,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola dorei,14.7515070328198,3.92172141625843,0.265852255470116,0.09,MAR-37-MGE-L224
26,NR_041446.1,1,1456,9,1380,94.7802,7.98214,37.5,6.67,376804,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola barnesiae,7.98214285714286,2.10277769401259,0.263435236833792,0.05,MAR-37-MGE-L224
27,NR_041461.1,1,1492,2,1394,93.4316,1.84182,39.2,15,387090,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola coprophilus,1.84182305630027,0.514491695188318,0.279338285742711,0.01,MAR-37-MGE-L224
