index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_025230.1,1,1411,9,1352,95.8186,7.9511,36.9,2.11,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,7.95109851169383,2.27593419324696,0.286241478444733,0.03,HAM-17-MGE-L175
1,NR_025452.1,1,1380,5,1352,97.971,4.06667,35.5,1,158787,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium scardovii,4.06666666666667,1.6665167928746,0.409799211362607,0.02,HAM-17-MGE-L175
2,NR_025514.1,1,1518,172,1411,92.9513,154.922,38.4,19.9,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,154.921607378129,44.702795531498,0.288551069718689,0.66,HAM-17-MGE-L175
3,NR_025567.1,1,1498,10,1390,92.7904,8.98932,37.1,21.1,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,8.98931909212283,2.60566018511943,0.289861796918825,0.04,HAM-17-MGE-L175
4,NR_025672.1,1,1523,1,1144,75.1149,0.751149,42.6,1,212365,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium porcinum,0.751149047931714,0.432489272170751,0.575770246080466,0,HAM-17-MGE-L175
5,NR_025796.1,1,1435,1,1006,70.1045,0.701045,40.8,1,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,0.701045296167247,0.457959539770459,0.653252425020486,0,HAM-17-MGE-L175
6,NR_026100.1,1,1499,2,1363,90.9273,1.8032,31.6,1,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,1.8032021347565,0.582880278497103,0.323247331656366,0.01,HAM-17-MGE-L175
7,NR_026312.1,1,1482,14,1364,92.0378,10.9177,39.6,7.14,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,10.9176788124157,4.97339015142809,0.455535488530063,0.05,HAM-17-MGE-L175
8,NR_026314.1,1,1458,3,1356,93.0041,2.48354,40.1,15.3,53443,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,2.48353909465021,0.981680145575234,0.395274689933359,0.01,HAM-17-MGE-L175
9,NR_026331.1,1,1488,1,1382,92.8763,0.928763,38.9,1,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,0.928763440860215,0.257306053822448,0.277041539860928,0,HAM-17-MGE-L175
10,NR_026409.1,1,1495,4,1384,92.5753,3.63211,40.1,2.75,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,3.63210702341137,1.06660983247065,0.293661454796246,0.02,HAM-17-MGE-L175
