index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024570.1,1,1450,3,1407,97.0345,2.81517,17.3,1,562,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,2.8151724137931,0.594700664070414,0.211248398555145,0.07,IVY-67-MGE-S49
1,NR_024946.1,1,1458,71,1456,99.8628,68.6152,19.8,7.69,296,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fragi,68.6152263374486,5.57651844603201,0.0812723172930565,1.56,IVY-67-MGE-S49
2,NR_025230.1,1,1411,11,1411,100,9.72785,19,1,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,9.72785258681786,1.72866844860554,0.177702985646395,0.24,IVY-67-MGE-S49
3,NR_025514.1,1,1518,289,1508,99.3412,271.55,19.6,37.9,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,271.550065876153,46.1757533177144,0.170045082363464,6.34,IVY-67-MGE-S49
4,NR_025525.1,1,1475,3,1442,97.7627,2.76136,20.8,42.3,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,2.76135593220339,0.583582074847959,0.211338954186285,0.07,IVY-67-MGE-S49
5,NR_025567.1,1,1498,12,1455,97.1295,11.2657,20.7,5.17,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,11.2656875834446,2.10928163899258,0.187230617161109,0.26,IVY-67-MGE-S49
6,NR_025981.1,1,1477,4,1443,97.698,3.60257,17.4,1,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,3.60257278266757,0.83767576864677,0.232521539239105,0.09,IVY-67-MGE-S49
7,NR_026100.1,1,1499,28,1454,96.998,26.4483,20.8,1.86,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,26.4482988659106,5.13299382513596,0.194076520806104,0.61,IVY-67-MGE-S49
8,NR_026106.1,1,1489,1,1334,89.5903,0.895903,19.9,1,29322,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,[Eubacterium] cellulosolvens,0.895903290799194,0.305488558637225,0.340983855930156,0.02,IVY-67-MGE-S49
9,NR_026312.1,1,1482,1,1413,95.3441,0.953441,19.4,1,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,0.953441295546559,0.210762817294123,0.221054844465598,0.02,IVY-67-MGE-S49
10,NR_026331.1,1,1488,300,1488,100,286.812,20,5.17,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,286.811827956989,37.7760479600607,0.131710216517729,6.58,IVY-67-MGE-S49
11,NR_026332.1,1,1487,24,1466,98.5878,22.6086,18.8,6.5,622,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,22.6086079354405,3.15462976846108,0.139532242651525,0.53,IVY-67-MGE-S49
12,NR_026409.1,1,1495,5,1467,98.1271,4.73913,19.7,1,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,4.73913043478261,0.840834062539324,0.177423701269766,0.11,IVY-67-MGE-S49
13,NR_026493.1,1,1488,12,1466,98.5215,11.3239,19.3,3.5,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,11.3239247311828,1.86098373006252,0.164340877764572,0.26,IVY-67-MGE-S49
14,NR_026494.1,1,1499,1,1414,94.3296,0.943296,20.3,0,84030,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora saccharolytica,0.943295530353569,0.231354230045001,0.24526166254417,0.02,IVY-67-MGE-S49
15,NR_027549.1,1,1473,15,1459,99.0496,14.0543,19.5,3.13,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,14.0543109300747,2.23753417595864,0.159206252593328,0.33,IVY-67-MGE-S49
16,NR_028619.1,1,1528,1,1416,92.6702,0.926702,20.2,1,122355,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas psychrophila,0.926701570680628,0.260711052179182,0.281332265345897,0.02,IVY-67-MGE-S49
17,NR_028726.1,1,1502,1,1408,93.7417,0.937417,21.5,1,94868,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora algidixylanolytica,0.937416777629827,0.242292483649508,0.258468260256791,0.02,IVY-67-MGE-S49
18,NR_028862.1,1,1537,17,1501,97.6578,15.998,19.4,59.6,209880,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,15.9980481457385,2.83635647667649,0.177293908034152,0.37,IVY-67-MGE-S49
