index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024815.1,1,1490,3,1386,93.0201,2.7349,36.4,5.67,228603,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella shahii,2.73489932885906,0.788723937698616,0.288392310962193,0.03,IRI-16-DRS-L147
1,NR_024946.1,1,1458,3,1384,94.9246,2.83951,39.2,30.7,296,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fragi,2.83950617283951,0.662996072127983,0.233489921053768,0.03,IRI-16-DRS-L147
2,NR_025230.1,1,1411,9,1352,95.8186,8.3742,38.9,8.56,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,8.37420269312544,1.94214566180097,0.231920068449658,0.08,IRI-16-DRS-L147
3,NR_025300.1,1,1495,1,1362,91.1037,0.911037,39.3,1,77768,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella albensis,0.911036789297659,0.284785897381022,0.312595386626012,0.01,IRI-16-DRS-L147
4,NR_025514.1,1,1518,28,1406,92.6219,25.4137,37.4,9.25,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,25.4137022397892,7.3412980605511,0.288871648502166,0.26,IRI-16-DRS-L147
5,NR_025518.1,1,1494,1,1344,89.9598,0.899598,40.8,26,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,0.899598393574297,0.300635360947342,0.334188414624501,0.01,IRI-16-DRS-L147
6,NR_025525.1,1,1475,2,1354,91.7966,1.79051,40,55.5,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,1.79050847457627,0.574365982023081,0.32078372718063,0.02,IRI-16-DRS-L147
7,NR_025567.1,1,1498,15,1391,92.8571,13.6909,37.1,7.47,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,13.6909212283044,3.90518013450115,0.285238667974193,0.14,IRI-16-DRS-L147
8,NR_025796.1,1,1435,1,1269,88.4321,0.884321,40.3,1,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,0.884320557491289,0.319951631350978,0.361805036240073,0.01,IRI-16-DRS-L147
9,NR_025934.1,1,1470,2,1164,79.1837,1.57007,40.3,60,2718,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Cardiobacterium,Cardiobacterium hominis,1.57006802721088,0.813552242948366,0.518163690266074,0.02,IRI-16-DRS-L147
