index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024640.1,1,1422,95,1374,96.6245,87.038,40.6,15.9,61645,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter asburiae,87.0379746835443,17.6996592517026,0.203355596405542,0.47,JAR-44-MGE-L204
1,NR_025230.1,1,1411,3,1346,95.3933,2.79447,39.3,7.67,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,2.79447200566974,0.685408653609445,0.245273043429604,0.01,JAR-44-MGE-L204
2,NR_025243.1,1,1403,3,1163,82.8938,2.46971,39.4,41,566551,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cedecea,Cedecea davisae,2.46970776906629,1.13165532758257,0.458214263953347,0.01,JAR-44-MGE-L204
3,NR_025452.1,1,1380,7,1357,98.3333,6.23333,38.9,13.1,158787,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium scardovii,6.23333333333333,1.48643044415574,0.238464777137284,0.03,JAR-44-MGE-L204
4,NR_025514.1,1,1518,75,1406,92.6219,67.2819,37.4,11.2,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,67.2819499341238,19.452786265534,0.289123402109783,0.37,JAR-44-MGE-L204
5,NR_025518.1,1,1494,8,1357,90.83,7.10576,38.4,23.5,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,7.10575635876841,2.33114135642896,0.328063789233691,0.04,JAR-44-MGE-L204
6,NR_025525.1,1,1475,2,1360,92.2034,1.82712,38.5,45.5,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,1.8271186440678,0.546926315882628,0.299338150622218,0.01,JAR-44-MGE-L204
7,NR_025567.1,1,1498,4,1385,92.4566,3.66689,39.5,26.5,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,3.66688918558077,1.06589120012514,0.290679959546234,0.02,JAR-44-MGE-L204
8,NR_025569.1,1,1494,1,1369,91.6332,0.916332,43.7,1,208962,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,0.916331994645248,0.276981987960998,0.302272527402287,0,JAR-44-MGE-L204
9,NR_026312.1,1,1482,1,1096,73.9541,0.739541,36,1,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,0.739541160593792,0.439033134481891,0.593656117976425,0,JAR-44-MGE-L204
10,NR_026314.1,1,1458,4,1141,78.2579,3.03704,39.3,1.25,53443,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,3.03703703703704,1.64985804593084,0.543245941952836,0.02,JAR-44-MGE-L204
11,NR_026331.1,1,1488,75,1389,93.3468,69.1862,40,12.3,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,69.1861559139785,18.5318830446554,0.267855364990891,0.37,JAR-44-MGE-L204
12,NR_026332.1,1,1487,9,1388,93.3423,8.33961,40.6,12,622,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,8.33960995292535,2.2438036367467,0.269053786617397,0.04,JAR-44-MGE-L204
13,NR_026409.1,1,1495,1,1361,91.0368,0.910368,38.5,1,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,0.910367892976589,0.285749557616375,0.313883606639589,0,JAR-44-MGE-L204
14,NR_026493.1,1,1488,1,1363,91.5995,0.915995,34.8,1,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,0.915994623655914,0.277489135912419,0.302937515948408,0,JAR-44-MGE-L204
15,NR_027521.1,1,1492,1,1347,90.2815,0.902815,35.3,1,74706,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus coagulans,0.902815013404826,0.29630881092376,0.328205453525056,0,JAR-44-MGE-L204
16,NR_027549.1,1,1473,8,1374,93.279,6.91174,39.4,6.5,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,6.91174473862865,2.25249360854509,0.325893633767501,0.04,JAR-44-MGE-L204
17,NR_028862.1,1,1537,1,1420,92.3878,0.923878,38.6,60,209880,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,0.92387768379961,0.2652800321277,0.28713761223963,0,JAR-44-MGE-L204
18,NR_029097.1,1,1374,47,1282,93.3042,41.7511,37.7,1.26,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,41.7510917030568,11.7157047306633,0.28060834466289,0.23,JAR-44-MGE-L204
19,NR_029137.1,1,1514,351,1384,91.4135,314.963,38.7,9.38,78257,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pullorum,314.963011889036,99.5147709750234,0.315957008342565,1.74,JAR-44-MGE-L204
20,NR_029207.1,1,1426,6,1415,99.2286,5.71178,38.8,1,907,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,5.71178120617111,0.722831700455498,0.126551013486745,0.03,JAR-44-MGE-L204
21,NR_029356.1,1,1550,12,1378,88.9032,10.5452,38.9,20.7,292800,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,10.5451612903226,3.75271270161167,0.355870583511661,0.06,JAR-44-MGE-L204
22,NR_036800.1,1,1481,9,1368,92.37,8.19176,40.7,40.7,411470,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] gnavus,8.1917623227549,2.39362039206496,0.29219846691792,0.04,JAR-44-MGE-L204
23,NR_036821.1,1,1437,1,1133,78.8448,0.788448,36.3,0,997349,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,Olsenella profusa,0.788448155880306,0.408550872878196,0.518170877604561,0,JAR-44-MGE-L204
24,NR_036853.1,1,1514,215,1386,91.5456,192.806,39.2,9.52,1683,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium angulatum,192.805812417437,62.2938949779241,0.323091374667968,1.06,JAR-44-MGE-L204
25,NR_036856.1,1,1517,48,1383,91.1668,42.8286,38.4,5.02,78448,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pullorum,42.8286090969018,13.6701009941683,0.319181530346667,0.24,JAR-44-MGE-L204
26,NR_037115.2,1,1518,1,1178,77.6021,0.776021,41.6,1,1689,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium dentium,0.776021080368907,0.417045488608268,0.537415154250722,0,JAR-44-MGE-L204
27,NR_040866.1,1,1425,38,1391,97.614,34.6428,38.6,1.13,820,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,34.6428070175439,5.96720842478141,0.172249564585211,0.19,JAR-44-MGE-L204
29,NR_041277.1,1,1490,4359,1405,94.2953,4010.08,38.5,56,484018,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius,4010.07986577181,1053.30761309372,0.262664996297023,21.58,JAR-44-MGE-L204
30,NR_041313.1,1,1485,3,1397,94.0741,2.80202,39.4,40.3,338188,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides finegoldii,2.8020202020202,0.720228484352338,0.257039004869796,0.01,JAR-44-MGE-L204
31,NR_041342.1,1,1488,169,1398,93.9516,154.201,38.4,30.8,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,154.200940860215,40.5663745679052,0.263074753899713,0.84,JAR-44-MGE-L204
32,NR_041343.1,1,1492,380,1416,94.9062,348.547,38.5,49.7,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,348.54691689008,92.3395729047076,0.26492724058101,1.88,JAR-44-MGE-L204
33,NR_041351.1,1,1493,61,1400,93.7709,55.422,38.3,18.8,357276,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola dorei,55.4219691895512,15.0958101756626,0.2723795346216,0.3,JAR-44-MGE-L204
34,NR_041446.1,1,1456,28,1380,94.7802,25.886,37.5,8.64,376804,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola barnesiae,25.885989010989,6.5656124980685,0.253635760073965,0.14,JAR-44-MGE-L204
