index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_025230.1,1,1411,5,1411,100,4.3983,36.9,3.8,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,4.39829907866761,0.745747241889894,0.169553554351699,0.04,OPH-57-MGE-S172
1,NR_025514.1,1,1518,201,1488,98.0237,189.246,35.3,27.3,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,189.245718050066,32.7085101500241,0.17283619670259,1.74,OPH-57-MGE-S172
2,NR_025525.1,1,1475,3,1444,97.8983,2.90847,36.9,58.7,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,2.90847457627119,0.470748175971905,0.161853976587077,0.03,OPH-57-MGE-S172
3,NR_025567.1,1,1498,20,1456,97.1963,18.6949,39.1,9.1,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,18.6949265687583,3.47465116177251,0.185860647753445,0.17,OPH-57-MGE-S172
4,NR_025796.1,1,1435,2,1409,98.1882,1.89059,41.3,2,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,1.89059233449477,0.365742778461841,0.193454068224379,0.02,OPH-57-MGE-S172
5,NR_025863.1,1,1411,2,1384,98.0865,1.94401,38.1,60,46125,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,1.94401133947555,0.301975641094754,0.155336357850783,0.02,OPH-57-MGE-S172
6,NR_025904.1,1,1536,3,1484,96.6146,2.80729,34.1,4,29391,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,unclassified Bacillales family,Gemella,Gemella morbillorum,2.80729166666667,0.61626083426771,0.219521484562895,0.03,OPH-57-MGE-S172
7,NR_025934.1,1,1470,1,1440,97.9592,0.979592,41.6,31,2718,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Cardiobacterium,Cardiobacterium hominis,0.979591836734694,0.141440019693481,0.144386686770429,0.01,OPH-57-MGE-S172
8,NR_025981.1,1,1477,2,1427,96.6148,1.81381,41,0.5,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,1.81381178063643,0.468375384851548,0.258227115873735,0.02,OPH-57-MGE-S172
9,NR_026032.1,1,1405,1,1366,97.2242,0.972242,36.5,3,749,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,unclassified Pasteurellaceae genus,[Pasteurella] aerogenes,0.972241992882562,0.164337220447821,0.169029132305409,0.01,OPH-57-MGE-S172
