index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024815.1,1,1490,3,1446,97.047,2.77651,17.4,7.67,228603,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella shahii,2.77651006711409,0.614672758984271,0.221383227190371,0.08,BUD-28-MGE-S47
1,NR_025230.1,1,1411,3,1409,99.8583,2.84125,17.6,1,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,2.84124734231042,0.421445843569587,0.148331275948288,0.08,BUD-28-MGE-S47
2,NR_025514.1,1,1518,225,1508,99.3412,210.795,19.3,33.1,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,210.79512516469,35.7827370973324,0.169751255250215,6.26,BUD-28-MGE-S47
3,NR_025518.1,1,1494,996,1464,97.992,917.982,19.7,40.8,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,917.981927710843,200.011772111762,0.21788203675265,27.73,BUD-28-MGE-S47
4,NR_025567.1,1,1498,2,1451,96.8625,1.78838,21.1,13,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,1.78838451268358,0.479309993449024,0.268012829483627,0.06,BUD-28-MGE-S47
5,NR_025863.1,1,1411,1,1306,92.5585,0.925585,16.8,60,46125,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,0.925584691708009,0.26253860591402,0.283646227369589,0.03,BUD-28-MGE-S47
6,NR_025981.1,1,1477,1,1366,92.4848,0.924848,20.2,1,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,0.924847664184157,0.263726282310522,0.285156456056106,0.03,BUD-28-MGE-S47
7,NR_026075.1,1,1468,1,1208,82.2888,0.822888,20.9,1,13335,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,0.822888283378747,0.381893315222509,0.464088896313447,0.03,BUD-28-MGE-S47
8,NR_026100.1,1,1499,4,1448,96.5977,3.73716,20.4,7.75,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,3.7371581054036,0.808185878932494,0.216256806947485,0.11,BUD-28-MGE-S47
9,NR_026409.1,1,1495,2,1451,97.0569,1.91037,21.7,4.5,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,1.91036789297659,0.374906769007575,0.196248466269722,0.06,BUD-28-MGE-S47
10,NR_026476.1,1,1463,15,1428,97.6077,13.4812,18.9,10.3,83771,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,13.4812030075188,2.74512789187577,0.203626329960668,0.42,BUD-28-MGE-S47
