index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_025230.1,1,1411,4,1399,99.1495,3.76754,18.1,2.5,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,3.76754075124026,0.616414573586355,0.163611919362368,0.08,KOR-20-DRS-S29
1,NR_025514.1,1,1518,277,1508,99.3412,259.139,19.1,33.4,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,259.138998682477,44.2061127328775,0.170588421494378,5.66,KOR-20-DRS-S29
2,NR_025525.1,1,1475,1,1397,94.7119,0.947119,19.5,60,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,0.947118644067797,0.223872501750936,0.236372183308969,0.02,KOR-20-DRS-S29
3,NR_025567.1,1,1498,18,1455,97.1295,16.9619,19.5,5.94,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,16.9619492656876,3.14690749663022,0.185527467824475,0.37,KOR-20-DRS-S29
4,NR_025796.1,1,1435,4,1345,93.7282,3.61324,19.2,2.5,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,3.61324041811847,1.02150804374804,0.282712447980412,0.08,KOR-20-DRS-S29
5,NR_025981.1,1,1477,7,1390,94.1097,6.22546,19.1,8.14,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,6.22545700744753,1.77416013500307,0.284984722066291,0.14,KOR-20-DRS-S29
6,NR_026100.1,1,1499,7,1449,96.6644,6.62775,20.4,4.57,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,6.62775183455637,1.30988985454109,0.197637130544247,0.14,KOR-20-DRS-S29
7,NR_026312.1,1,1482,1,1046,70.5803,0.705803,20,32,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,0.705802968960864,0.455834777087031,0.645838565624263,0.02,KOR-20-DRS-S29
8,NR_026314.1,1,1458,1,1234,84.6365,0.846365,15,1,53443,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,0.84636488340192,0.360722349610611,0.426201933332472,0.02,KOR-20-DRS-S29
9,NR_026331.1,1,1488,438,1488,100,416.988,19.5,4.75,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,416.987903225806,54.2917210690196,0.130199750757805,8.95,KOR-20-DRS-S29
