index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024898.1,1,1504,1,1455,96.742,0.96742,42,10,85403,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia ruminalis,0.967420212765958,0.177593116384186,0.183573915492657,0,GIN-2-MGE-S174
1,NR_025514.1,1,1518,178,1509,99.4071,169.404,35.9,38.2,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,169.404479578393,29.102252499643,0.171791516800923,0.77,GIN-2-MGE-S174
2,NR_025518.1,1,1494,5027,1468,98.2597,4734.89,38.4,52.3,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,4734.89357429719,1027.1390038389,0.216929691812844,21.77,GIN-2-MGE-S174
3,NR_025567.1,1,1498,6,1454,97.0628,5.75501,39,10.3,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,5.75500667556742,1.07348173063518,0.186530058286916,0.03,GIN-2-MGE-S174
4,NR_025569.1,1,1494,2,1246,83.4003,1.64592,42.6,1,208962,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,1.64591700133869,0.749051686114947,0.455096876395173,0.01,GIN-2-MGE-S174
5,NR_026075.1,1,1468,6,1419,96.6621,4.73025,35.2,6,13335,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,4.73024523160763,1.7003101508883,0.359454968534565,0.03,GIN-2-MGE-S174
6,NR_026100.1,1,1499,11,1447,96.531,10.5524,38.9,1,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,10.552368245497,2.03714489934817,0.193050967513143,0.05,GIN-2-MGE-S174
7,NR_026331.1,1,1488,7177,1488,100,6995.97,40,12,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,6995.96706989247,888.932309325345,0.127063535383252,31.08,GIN-2-MGE-S174
8,NR_026332.1,1,1487,22,1479,99.462,21.0134,37.3,4.95,622,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,21.0134498991258,2.82768125739392,0.134565303220942,0.1,GIN-2-MGE-S174
9,NR_026409.1,1,1495,2,1452,97.1237,1.94047,40.4,1.5,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,1.94046822742475,0.337029380579841,0.17368456531088,0.01,GIN-2-MGE-S174
10,NR_026476.1,1,1463,81,1449,99.0431,77.1107,38.3,12.9,83771,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,77.1107313738893,13.033526732829,0.169023513337371,0.35,GIN-2-MGE-S174
11,NR_026493.1,1,1488,2,1446,97.1774,1.91129,32.1,1,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,1.91129032258065,0.370653762363067,0.193928550772238,0.01,GIN-2-MGE-S174
13,NR_027549.1,1,1473,194,1473,100,182.583,37.2,9.29,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,182.583163611677,28.4389609330607,0.155758944967924,0.84,GIN-2-MGE-S174
14,NR_028682.1,1,1538,1,1409,91.6125,0.916125,38.9,51,137732,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella elegans,0.916124837451235,0.277290665598128,0.302677816671341,0,GIN-2-MGE-S174
15,NR_028862.1,1,1537,18,1518,98.7638,17.2433,38.6,60,209880,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,17.2433311646064,2.90820880946525,0.168657017701698,0.08,GIN-2-MGE-S174
