index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_025514.1,1,1518,20,1406,92.6219,18.2233,37.5,26.9,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,18.2233201581028,5.26047277416969,0.288667088572808,0.12,GRO-70-DRS-L217
1,NR_025518.1,1,1494,9470,1494,100,8458.02,39.1,28.3,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,8458.01941097724,2749.97495165321,0.325132258278357,57.41,GRO-70-DRS-L217
2,NR_025569.1,1,1494,1,1357,90.83,0.9083,38.1,1,208962,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,0.908299866131191,0.288698817351178,0.317845271276831,0.01,GRO-70-DRS-L217
3,NR_025904.1,1,1536,1,1383,90.0391,0.900391,37.8,10,29391,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,unclassified Bacillales family,Gemella,Gemella morbillorum,0.900390625,0.299575993116047,0.332717805803505,0.01,GRO-70-DRS-L217
4,NR_026075.1,1,1468,120,1337,91.0763,94.6233,39,4.82,13335,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,94.6232970027248,39.9168929020277,0.421850581901392,0.73,GRO-70-DRS-L217
5,NR_026314.1,1,1458,1,1264,86.6941,0.866941,38.6,6,53443,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,0.866941015089163,0.339755005727888,0.391900948062706,0.01,GRO-70-DRS-L217
6,NR_026331.1,1,1488,15,1389,93.3468,13.7352,40.4,2.47,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,13.7352150537634,3.71058526291985,0.270151231589428,0.09,GRO-70-DRS-L217
7,NR_026332.1,1,1487,10,1388,93.3423,9.21722,40.2,5.7,622,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,9.21721587088097,2.51788211245838,0.273171654839166,0.06,GRO-70-DRS-L217
8,NR_026476.1,1,1463,165,1354,92.5496,147.619,37.5,2.04,83771,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,147.618591934381,43.346196281553,0.293636429622774,1,GRO-70-DRS-L217
9,NR_028736.1,1,1544,1,1405,90.9974,0.909974,42.9,60,1338,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus intermedius,0.909974093264249,0.286311604791113,0.314637094517778,0.01,GRO-70-DRS-L217
10,NR_028862.1,1,1537,1,1403,91.2817,0.912817,36.6,54,209880,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,0.912817176317502,0.282194596194627,0.309146895474798,0.01,GRO-70-DRS-L217
11,NR_029097.1,1,1374,29,1282,93.3042,26.4367,38.7,2.07,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,26.4366812227074,7.32921556352899,0.277236597959719,0.18,GRO-70-DRS-L217
12,NR_029137.1,1,1514,24,1382,91.2814,21.5588,39.5,14.2,78257,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pullorum,21.558784676354,6.85132781085878,0.317797497109075,0.15,GRO-70-DRS-L217
13,NR_029207.1,1,1426,1,1408,98.7377,0.987377,41.3,1,907,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,0.987377279102384,0.111678709035427,0.113106419804346,0.01,GRO-70-DRS-L217
14,NR_040867.1,1,1529,1,1375,89.9281,0.899281,39.6,60,302911,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium animalis,0.899280575539568,0.301055308612301,0.334773503176878,0.01,GRO-70-DRS-L217
15,NR_040877.1,1,1494,4,1395,93.3735,3.39157,38.3,1,537011,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri,3.39156626506024,1.17233508343383,0.345661854085286,0.02,GRO-70-DRS-L217
16,NR_041277.1,1,1490,2846,1398,93.8255,2623.54,38.6,57.7,484018,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius,2623.53758389262,689.187968072571,0.262694147133201,17.25,GRO-70-DRS-L217
17,NR_041313.1,1,1485,4,1394,93.8721,3.73199,38.8,53.5,338188,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides finegoldii,3.73198653198653,0.965486148974504,0.258705689503273,0.02,GRO-70-DRS-L217
18,NR_041342.1,1,1488,101,1395,93.75,92.42,39.1,9.32,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,92.4200268817204,24.3627385237901,0.263608866452393,0.61,GRO-70-DRS-L217
19,NR_041343.1,1,1492,42,1399,93.7668,38.6984,39.1,51.4,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,38.6983914209115,10.3573402833972,0.267642656531724,0.25,GRO-70-DRS-L217
20,NR_041351.1,1,1493,67,1400,93.7709,61.4983,37.8,40.4,357276,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola dorei,61.4983255190891,16.1109433986416,0.261973692172168,0.41,GRO-70-DRS-L217
21,NR_041446.1,1,1456,8,1377,94.5742,7.13599,37.2,7.75,376804,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola barnesiae,7.13598901098901,1.90587339176719,0.267079081656692,0.05,GRO-70-DRS-L217
22,NR_041464.1,1,1492,1,1378,92.3592,0.923592,41.2,1,387661,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides johnsonii,0.923592493297587,0.265738085094771,0.287722222758634,0.01,GRO-70-DRS-L217
23,NR_041590.1,1,1342,34,1204,89.7168,30.076,38.7,6.03,742816,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,30.0760059612519,10.3570215383994,0.344361600132105,0.21,GRO-70-DRS-L217
24,NR_042745.1,1,1493,21,1397,93.57,18.9826,38.2,3,204516,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola massiliensis,18.9825853985265,5.10319429090759,0.268835576596628,0.13,GRO-70-DRS-L217
25,NR_042842.1,1,1506,2,1150,76.3612,1.50332,35.6,7,28129,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella denticola,1.50332005312085,0.850437995315752,0.565706546354029,0.01,GRO-70-DRS-L217
26,NR_043016.1,1,1419,1,1369,96.4764,0.964764,39.1,4,291644,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides salyersiae,0.96476391825229,0.184440976589491,0.191177316128918,0.01,GRO-70-DRS-L217
27,NR_043657.1,1,1553,1,1151,74.1146,0.741146,35.7,1,349095,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera paucivorans,0.741146168705731,0.438146253046956,0.591173875744503,0.01,GRO-70-DRS-L217
28,NR_044054.1,1,1438,1,1129,78.5118,0.785118,38.5,1,1121115,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia wexlerae,0.785118219749652,0.410883199232727,0.523339274133447,0.01,GRO-70-DRS-L217
29,NR_044473.1,1,1399,1,1347,96.2831,0.962831,35.7,10,491921,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas rupellensis,0.962830593280915,0.189244395525777,0.196550044053869,0.01,GRO-70-DRS-L217
30,NR_044490.1,1,1482,2,1383,93.3198,1.83266,39.9,49.5,501571,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Butyricicoccus,Butyricicoccus pullicaecorum,1.83265856950067,0.522614399364197,0.285167356354102,0.01,GRO-70-DRS-L217
31,NR_074376.1,1,1497,12,1395,93.1864,11.0488,38.7,4.5,435591,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,11.0487641950568,3.06518314892784,0.277423166502114,0.07,GRO-70-DRS-L217
32,NR_074515.1,1,1510,108,1396,92.4503,98.2967,38.6,28.3,435590,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,98.2966887417219,28.4095425805833,0.289018307170351,0.65,GRO-70-DRS-L217
33,NR_074799.1,1,1534,3,1354,88.266,2.6369,41.4,1,90370,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,2.63689700130378,0.967424954984392,0.366880069455144,0.02,GRO-70-DRS-L217
34,NR_074902.1,1,1542,31,1401,90.856,27.6407,40.4,7.03,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,27.6407263294423,8.8650917815297,0.320725717402252,0.19,GRO-70-DRS-L217
35,NR_102980.1,1,1552,19,1421,91.5593,17.114,39.4,1.63,1064535,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,17.1140463917526,5.3352358261715,0.311746018682209,0.12,GRO-70-DRS-L217
36,NR_104803.1,1,1521,1,1374,90.3353,0.903353,39.3,11,39482,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Faecalicatena,Faecalicatena contorta,0.903353057199211,0.295573594237904,0.327196096678204,0.01,GRO-70-DRS-L217
37,NR_104851.1,1,1449,10,1313,90.6142,8.59627,39.5,0.7,40545,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,Sutterella wadsworthensis,8.59627329192547,3.0037752346117,0.349427610384743,0.06,GRO-70-DRS-L217
38,NR_104901.1,1,1515,2,1378,90.9571,1.78614,36.5,14,621,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella boydii,1.78613861386139,0.590942707276614,0.330849298419834,0.01,GRO-70-DRS-L217
39,NR_112143.1,1,1397,6,1363,97.5662,5.73157,39.2,10.8,821,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,5.73156764495347,1.03323630817089,0.180271153055417,0.04,GRO-70-DRS-L217
