index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_025514.1,1,1518,39,1406,92.6219,34.83,38.6,21,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,34.8300395256917,10.1350196058564,0.29098501591939,0.22,KOR-44-MGE-L192
1,NR_025518.1,1,1494,1,1328,88.8889,0.888889,37.1,16,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,0.888888888888889,0.31437491062591,0.353671774454148,0.01,KOR-44-MGE-L192
2,NR_025525.1,1,1475,1,1347,91.322,0.91322,38,52,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,0.913220338983051,0.281607379171704,0.308367397385496,0.01,KOR-44-MGE-L192
3,NR_025567.1,1,1498,10,1391,92.8571,9.17891,38.3,16,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,9.17890520694259,2.6131128922548,0.284686771825287,0.06,KOR-44-MGE-L192
4,NR_025796.1,1,1435,2,1281,89.2683,1.48711,32.3,1,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,1.48710801393728,0.681756437292152,0.458444464627103,0.01,KOR-44-MGE-L192
5,NR_025981.1,1,1477,2,1340,90.7244,1.80162,37.7,1,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,1.80162491536899,0.587168634684846,0.32591058753458,0.01,KOR-44-MGE-L192
6,NR_026312.1,1,1482,5,1157,78.0702,3.56883,40.9,17.8,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,3.56882591093117,1.99213167921608,0.55820365827155,0.03,KOR-44-MGE-L192
7,NR_026314.1,1,1458,2,1109,76.0631,1.50892,41.5,1.5,53443,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,1.50891632373114,0.853907843511442,0.565908016290765,0.01,KOR-44-MGE-L192
8,NR_026331.1,1,1488,5,1389,93.3468,4.61559,39.2,3.8,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,4.61559139784946,1.26621780046103,0.274334899109786,0.03,KOR-44-MGE-L192
9,NR_026409.1,1,1495,1,1357,90.7692,0.907692,41.1,1,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,0.907692307692308,0.289556669006183,0.319003109922066,0.01,KOR-44-MGE-L192
11,NR_028740.1,1,1533,1,1302,84.9315,0.849315,40.2,1,100134,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna xylanovorans,0.849315068493151,0.357858240255475,0.421349218365317,0.01,KOR-44-MGE-L192
12,NR_028862.1,1,1537,1,1412,91.8673,0.918673,43.5,60,209880,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,0.918672739102147,0.273426002600862,0.297631562321193,0.01,KOR-44-MGE-L192
13,NR_028866.1,1,1486,1,1346,90.5787,0.905787,37,6,752555,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella bryantii,0.90578734858681,0.292222677883602,0.322617310055745,0.01,KOR-44-MGE-L192
14,NR_029097.1,1,1374,94,1283,93.377,84.7467,38.4,1,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,84.7467248908297,23.8025664712977,0.280867095477259,0.53,KOR-44-MGE-L192
15,NR_029137.1,1,1514,2,1376,90.8851,1.80119,41.2,3,78257,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pullorum,1.80118890356671,0.584644812816911,0.324588282583353,0.01,KOR-44-MGE-L192
16,NR_029207.1,1,1426,1,1390,97.4755,0.974755,33,1,907,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,0.974754558204769,0.15692475366411,0.160988991888504,0.01,KOR-44-MGE-L192
17,NR_029356.1,1,1550,1,1353,87.2903,0.872903,40.1,60,292800,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,0.872903225806452,0.333188845310042,0.381701929216973,0.01,KOR-44-MGE-L192
18,NR_036800.1,1,1481,3,1368,92.37,2.60635,36.9,47,411470,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] gnavus,2.60634706279541,0.836458241801012,0.320931258058886,0.02,KOR-44-MGE-L192
19,NR_040877.1,1,1494,66,1401,93.7751,55.7376,38.7,2.24,537011,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri,55.7376171352075,16.1676403986362,0.290066946339255,0.37,KOR-44-MGE-L192
20,NR_041277.1,1,1490,14,1396,93.6913,12.8966,37.4,17.6,484018,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius,12.896644295302,3.4487598360328,0.267415287036265,0.08,KOR-44-MGE-L192
21,NR_041313.1,1,1485,3,1397,94.0741,2.78316,39.3,37.3,338188,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides finegoldii,2.78316498316498,0.725070460642953,0.260520114699924,0.02,KOR-44-MGE-L192
22,NR_041342.1,1,1488,318,1395,93.75,292.748,38.9,9.26,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,292.747983870968,77.1601557768656,0.26357194593311,1.79,KOR-44-MGE-L192
23,NR_041343.1,1,1492,469,1404,94.1019,430.693,38.8,49.9,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,430.693029490617,115.051183919151,0.26713035977207,2.65,KOR-44-MGE-L192
24,NR_041351.1,1,1493,35,1402,93.9049,31.3289,37.6,11.8,357276,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola dorei,31.3288680509042,8.7786118108965,0.280208394271785,0.2,KOR-44-MGE-L192
25,NR_041446.1,1,1456,11,1379,94.7115,10.1648,37.1,6.64,376804,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola barnesiae,10.1648351648352,2.61089964356268,0.256856073042382,0.06,KOR-44-MGE-L192
26,NR_041461.1,1,1492,7,1399,93.7668,6.12399,37.5,6.86,387090,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola coprophilus,6.12399463806971,1.77130813894987,0.289240641710979,0.04,KOR-44-MGE-L192
27,NR_041464.1,1,1492,3,1396,93.5657,2.7681,38.5,8,387661,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides johnsonii,2.76809651474531,0.757595739092602,0.273688339643138,0.02,KOR-44-MGE-L192
