index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_025514.1,1,1518,5,1509,99.4071,4.79974,36.7,34.8,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,4.79973649538867,0.566663373998952,0.118061350772771,9.8,CM-NTC-009-CTRL
1,NR_025518.1,1,1494,1,1446,96.7871,0.967871,39.4,60,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,0.967871485943775,0.176400398771485,0.182256013668464,1.96,CM-NTC-009-CTRL
2,NR_026100.1,1,1499,1,1464,97.6651,0.976651,40.7,1,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,0.976651100733823,0.151059428542957,0.1546708219849,1.96,CM-NTC-009-CTRL
3,NR_026331.1,1,1488,5,1488,100,4.95632,39.1,12.2,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,4.95631720430108,0.21409734237134,0.0431968603998039,9.8,CM-NTC-009-CTRL
4,NR_026409.1,1,1495,1,1464,97.9264,0.979264,39.6,1,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,0.979264214046823,0.142546149401299,0.145564544641354,1.96,CM-NTC-009-CTRL
5,NR_029097.1,1,1374,3,1318,95.9243,2.79913,36.5,0.667,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,2.79912663755459,0.669031407341626,0.239014340532344,5.88,CM-NTC-009-CTRL
6,NR_041343.1,1,1492,1,1307,87.6005,0.876005,33.3,31,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,0.876005361930295,0.329685938756903,0.376351507746977,1.96,CM-NTC-009-CTRL
7,NR_041590.1,1,1342,8,1310,97.6155,7.69896,38.9,15.5,742816,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,7.69895678092399,1.35397295348065,0.17586446995461,15.69,CM-NTC-009-CTRL
8,NR_044473.1,1,1399,2,1396,99.7856,1.98499,39,24.5,491921,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas rupellensis,1.98498927805575,0.138158683307889,0.0696017277449541,3.92,CM-NTC-009-CTRL
9,NR_074902.1,1,1542,1,1322,85.7328,0.857328,41.6,1,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,0.857328145265888,0.349851356178847,0.408071702895448,1.96,CM-NTC-009-CTRL
