index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_025514.1,1,1518,102,1406,92.6219,93.0876,38,24.3,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,93.0876152832675,26.8434675776713,0.288367765099429,0.87,LAM-70-DRS-L143
1,NR_025518.1,1,1494,16,1361,91.0977,14.0669,38.9,23.2,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,14.0669344042838,4.6657397018644,0.331681343480463,0.14,LAM-70-DRS-L143
2,NR_025863.1,1,1411,2,1399,99.1495,1.97945,42.4,60,46125,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,1.97944720056697,0.192784686453074,0.0973931946241631,0.02,LAM-70-DRS-L143
3,NR_025904.1,1,1536,1,1379,89.7786,0.897786,42.6,5,29391,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,unclassified Bacillales family,Gemella,Gemella morbillorum,0.897786458333333,0.303027582793659,0.337527459877491,0.01,LAM-70-DRS-L143
4,NR_026331.1,1,1488,169,1389,93.3468,156.351,40.6,12.7,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,156.351478494624,41.8075552062665,0.267394690531847,1.44,LAM-70-DRS-L143
5,NR_026332.1,1,1487,2,1386,93.2078,1.83927,39.3,1,622,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,1.83927370544721,0.52049930449237,0.282991760797131,0.02,LAM-70-DRS-L143
6,NR_026409.1,1,1495,2,1377,92.107,1.77324,40.5,10,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,1.77324414715719,0.577425485544484,0.325632252315731,0.02,LAM-70-DRS-L143
7,NR_026476.1,1,1463,9,1350,92.2761,7.84894,41.4,5.78,83771,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,7.84894053315106,2.54771374372999,0.324593329885655,0.08,LAM-70-DRS-L143
8,NR_026493.1,1,1488,1,1266,85.0806,0.850806,38.6,2,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,0.850806451612903,0.356398928929471,0.418895423575871,0.01,LAM-70-DRS-L143
9,NR_027549.1,1,1473,156,1374,93.279,144.075,41.1,2.61,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,144.075356415479,38.7369774351817,0.268866087851094,1.33,LAM-70-DRS-L143
