index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024815.1,1,1490,22,1469,98.5906,20.2597,17.7,6.09,228603,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella shahii,20.2597315436242,3.75102259552879,0.185146707766187,0.18,IRI-7-DRS-S85
2,NR_025127.1,1,1453,1,1239,85.2719,0.852719,15.5,1,140626,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lachnobacterium,Lachnobacterium bovis,0.852718513420509,0.354508313781126,0.415738966847438,0.01,IRI-7-DRS-S85
3,NR_025230.1,1,1411,68,1411,100,63.7746,18.2,2.29,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,63.7746279234585,7.41611871494011,0.116286350174255,0.55,IRI-7-DRS-S85
4,NR_025281.1,1,1447,1,1321,91.2923,0.912923,14,1,76123,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella enoeca,0.912923289564616,0.282044911823833,0.308947000309679,0.01,IRI-7-DRS-S85
5,NR_025514.1,1,1518,193,1506,99.2095,179.777,18.3,25,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,179.777338603426,30.8310805997438,0.171495922896904,1.56,IRI-7-DRS-S85
6,NR_025525.1,1,1475,5,1440,97.6271,4.55864,19.2,46.2,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,4.55864406779661,1.00192395927705,0.21978552051363,0.04,IRI-7-DRS-S85
7,NR_025567.1,1,1498,53,1475,98.4646,49.4166,18.8,6.42,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,49.4165554072096,8.96225550096608,0.181361396542393,0.43,IRI-7-DRS-S85
8,NR_025796.1,1,1435,20,1415,98.6063,17.7352,17.9,1.8,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,17.7351916376307,4.59438235766959,0.259054565157401,0.16,IRI-7-DRS-S85
9,NR_025903.1,1,1537,1,1380,89.7853,0.897853,20.5,1,1379,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,unclassified Bacillales family,Gemella,Gemella haemolysans,0.897852960312297,0.302940144202483,0.337405073651606,0.01,IRI-7-DRS-S85
10,NR_025904.1,1,1536,1,1351,87.9557,0.879557,15.7,1,29391,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,unclassified Bacillales family,Gemella,Gemella morbillorum,0.879557291666667,0.325584514672234,0.370168626599964,0.01,IRI-7-DRS-S85
11,NR_025981.1,1,1477,13,1453,98.3751,11.4929,18.2,4.62,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,11.4928909952607,2.55444447095314,0.222263003452005,0.11,IRI-7-DRS-S85
12,NR_026100.1,1,1499,45,1465,97.7318,42.066,19.7,2.64,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,42.0660440293529,8.13309108856749,0.193341001661396,0.36,IRI-7-DRS-S85
13,NR_026106.1,1,1489,2,1346,90.3962,1.69174,16,3.5,29322,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,[Eubacterium] cellulosolvens,1.69173942243116,0.636854456465812,0.376449498085587,0.02,IRI-7-DRS-S85
