index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024815.1,1,1490,12,1449,97.2483,10.7987,17.9,8.08,228603,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella shahii,10.7986577181208,2.20134846570282,0.203853897694046,0.16,FRA-45-DRS-S57
1,NR_025230.1,1,1411,21,1409,99.8583,19.6853,19.4,2.19,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,19.6853295535082,2.52733794883659,0.128386875209117,0.28,FRA-45-DRS-S57
2,NR_025514.1,1,1518,301,1493,98.3531,281.825,19.2,30.9,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,281.824769433465,48.0583540910033,0.170525657441722,3.95,FRA-45-DRS-S57
3,NR_025518.1,1,1494,106,1448,96.921,97.4967,20.1,41.9,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,97.4966532797858,21.3922866592295,0.219415599813874,1.39,FRA-45-DRS-S57
4,NR_025525.1,1,1475,1,1396,94.6441,0.946441,20.8,38,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,0.946440677966102,0.225222358932023,0.237967750304251,0.01,FRA-45-DRS-S57
5,NR_025567.1,1,1498,16,1475,98.4646,15.004,19.6,5.12,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,15.0040053404539,2.78942271269733,0.185911871490506,0.21,FRA-45-DRS-S57
6,NR_025796.1,1,1435,3,1345,93.7282,2.72265,21.1,1,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,2.72264808362369,0.773341540956825,0.284040212765049,0.04,FRA-45-DRS-S57
8,NR_025981.1,1,1477,6,1454,98.4428,5.36357,18,5,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,5.36357481381178,1.25203366410772,0.233432683903951,0.08,FRA-45-DRS-S57
9,NR_026100.1,1,1499,13,1448,96.5977,12.3129,21,2.38,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,12.3128752501668,2.41521953155996,0.196153983735622,0.17,FRA-45-DRS-S57
10,NR_026106.1,1,1489,1,1131,75.957,0.75957,17.7,2,29322,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,[Eubacterium] cellulosolvens,0.759570181329752,0.427488071986687,0.562802598751703,0.01,FRA-45-DRS-S57
11,NR_026331.1,1,1488,92,1488,100,87.961,19.9,8.27,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,87.9610215053764,11.5384722178137,0.131177105726409,1.21,FRA-45-DRS-S57
12,NR_026332.1,1,1487,2,1460,98.1843,1.90383,19.7,1,622,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,1.90383322125084,0.35116433005332,0.184451204093708,0.03,FRA-45-DRS-S57
13,NR_026409.1,1,1495,4,1453,97.1906,3.78261,21.1,2.25,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,3.78260869565217,0.73192079461487,0.193496302024621,0.05,FRA-45-DRS-S57
14,NR_026476.1,1,1463,3,1423,97.2659,2.74299,18.7,1,83771,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,2.74299384825701,0.61633358738057,0.22469375488108,0.04,FRA-45-DRS-S57
15,NR_026493.1,1,1488,6,1453,97.6478,5.71976,21.1,5,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,5.71975806451613,0.984800121696186,0.172175135834088,0.08,FRA-45-DRS-S57
16,NR_027549.1,1,1473,102,1473,100,98.2668,20.4,3.27,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,98.2668024439919,10.6320675547514,0.108195924669588,1.34,FRA-45-DRS-S57
17,NR_027579.1,1,1402,4,1323,94.3652,3.54565,16.9,1,471875,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] lactaris,3.54564907275321,1.00020642385655,0.282094026603678,0.05,FRA-45-DRS-S57
18,NR_028726.1,1,1502,1,1361,90.6125,0.906125,17.4,1,94868,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora algidixylanolytica,0.90612516644474,0.291751640325667,0.321977196009663,0.01,FRA-45-DRS-S57
