index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024841.1,1,1460,13,1401,95.9589,12.2158,40.8,4.54,888807,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sanguinis,12.2157534246575,2.58548668116874,0.211651839333129,0.17,GOO-4-DRS-L222
1,NR_024898.1,1,1504,2,1395,92.7527,1.65226,40.3,8.5,85403,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia ruminalis,1.65226063829787,0.609926925277257,0.36914691976539,0.03,GOO-4-DRS-L222
3,NR_025518.1,1,1494,1,1326,88.755,0.88755,35.1,27,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,0.887550200803213,0.316024825572917,0.356064169989395,0.01,GOO-4-DRS-L222
5,NR_025863.1,1,1411,4,1403,99.433,3.93905,38.9,60,46125,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,3.93905031892275,0.39568445719385,0.100451739672638,0.05,GOO-4-DRS-L222
6,NR_025903.1,1,1537,1,1385,90.1106,0.901106,42.5,15,1379,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,unclassified Bacillales family,Gemella,Gemella haemolysans,0.901106050748211,0.298616732516155,0.331389110380744,0.01,GOO-4-DRS-L222
7,NR_025904.1,1,1536,6,1401,91.2109,5.41536,39.6,6.67,29391,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,unclassified Bacillales family,Gemella,Gemella morbillorum,5.41536458333333,1.70437211223366,0.314728969029923,0.08,GOO-4-DRS-L222
9,NR_026032.1,1,1405,13,1402,99.7865,12.4954,38.7,3.92,749,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,unclassified Pasteurellaceae genus,[Pasteurella] aerogenes,12.4953736654804,1.26457878104353,0.101203758678865,0.17,GOO-4-DRS-L222
10,NR_026331.1,1,1488,3216,1389,93.3468,2975.59,40.9,13.1,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,2975.58803763441,797.138411181995,0.267892732831296,43.13,GOO-4-DRS-L222
11,NR_026332.1,1,1487,11,1388,93.3423,10.1204,38.6,4.73,622,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,10.1203765971755,2.74333311395012,0.271070259847421,0.15,GOO-4-DRS-L222
12,NR_027549.1,1,1473,68,1374,93.279,59.668,39.2,8.91,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,59.6680244399185,17.4838175169725,0.293018206670768,0.91,GOO-4-DRS-L222
