index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_025518.1,1,1494,2,1349,90.2945,1.78046,36.6,33,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,1.78045515394913,0.604730897011177,0.339649609073195,0.01,CHA-41-DRS-L176
1,NR_025567.1,1,1498,31,1391,92.8571,28.2049,38.9,25.9,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,28.2049399198932,7.98746861900613,0.28319395969968,0.12,CHA-41-DRS-L176
2,NR_025863.1,1,1411,2,1400,99.2204,1.96669,37.9,60,46125,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,1.96669029057406,0.218691212821262,0.111197586050739,0.01,CHA-41-DRS-L176
3,NR_026100.1,1,1499,1,1342,89.5264,0.895264,36.9,1,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,0.895263509006004,0.306315773475785,0.34215152342787,0,CHA-41-DRS-L176
4,NR_026331.1,1,1488,1,1309,87.9704,0.879704,39.3,5,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,0.879704301075269,0.325416364499561,0.369915622899424,0,CHA-41-DRS-L176
5,NR_026409.1,1,1495,4,1382,92.4415,3.65284,40.2,3.25,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,3.65284280936455,1.07010784592697,0.292952065493649,0.02,CHA-41-DRS-L176
6,NR_026493.1,1,1488,2,1379,92.6747,1.83199,34.9,8.5,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,1.83198924731183,0.53523923958962,0.2921628717936,0.01,CHA-41-DRS-L176
7,NR_026494.1,1,1499,3,1378,91.928,2.71981,37.9,1,84030,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora saccharolytica,2.71981320880587,0.831747219040027,0.305810419754967,0.01,CHA-41-DRS-L176
8,NR_027196.1,1,1342,13,1342,100,12.4285,37.3,10.5,449673,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,12.4284649776453,1.51271830081123,0.121714009214501,0.05,CHA-41-DRS-L176
9,NR_027558.1,1,1365,9,1329,97.3626,8.35678,38.9,55.4,169435,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Anaerotruncus,Anaerotruncus colihominis,8.35677655677656,1.59940646451932,0.191390358908466,0.04,CHA-41-DRS-L176
10,NR_028685.1,1,1496,9,1401,93.6497,8.2393,40.3,13.8,67825,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter rodentium,8.23930481283423,2.24581794575797,0.272573717901502,0.04,CHA-41-DRS-L176
11,NR_028686.1,1,1522,204,1402,92.1156,184.573,40.4,53.1,67826,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter sedlakii,184.572930354796,54.2814178513398,0.294091976255657,0.81,CHA-41-DRS-L176
12,NR_028847.1,1,1493,1,1345,90.0871,0.900871,38,60,194702,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Cardiobacterium,Cardiobacterium valvarum,0.900870730073677,0.298935632032151,0.331829664404462,0,CHA-41-DRS-L176
13,NR_029097.1,1,1374,48,1282,93.3042,43.6477,38.7,1.29,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,43.6477438136827,12.0621571801308,0.276352363861464,0.19,CHA-41-DRS-L176
14,NR_029164.1,1,1475,14,1399,94.8475,13.038,38.7,57.9,1522,Bacteria,unclassified Bacteria kingdom,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,[Clostridium] innocuum,13.0379661016949,3.13511580078501,0.240460496394253,0.06,CHA-41-DRS-L176
15,NR_029356.1,1,1550,93,1378,88.9032,81.1316,38.9,45.1,292800,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,81.1316129032258,28.7616723544054,0.354506354862099,0.37,CHA-41-DRS-L176
