index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_025230.1,1,1411,21,1408,99.7874,20.1665,31.5,3.57,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,20.1665485471297,2.50472759966589,0.124202096050907,0.2,HEN-48-MGE-S198
1,NR_025514.1,1,1518,416,1511,99.5389,394.557,32.3,34.6,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,394.556653491436,65.8542097855037,0.166906854067113,4.06,HEN-48-MGE-S198
2,NR_025518.1,1,1494,2,1446,96.7871,1.7008,30.7,38,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,1.70080321285141,0.523563346174897,0.307832994563281,0.02,HEN-48-MGE-S198
3,NR_025567.1,1,1498,49,1476,98.5314,46.6355,35.6,11.1,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,46.6355140186916,8.57919181316854,0.183962630061931,0.48,HEN-48-MGE-S198
4,NR_025796.1,1,1435,1,1299,90.5226,0.905226,30.2,1,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,0.905226480836237,0.293003969148967,0.323680289244625,0.01,HEN-48-MGE-S198
5,NR_025863.1,1,1411,1,1374,97.3777,0.973777,35.5,60,46125,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,0.973777462792346,0.159853137658832,0.164157770914565,0.01,HEN-48-MGE-S198
6,NR_025904.1,1,1536,6,1488,96.875,5.62695,35.3,2.33,29391,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,unclassified Bacillales family,Gemella,Gemella morbillorum,5.626953125,1.18218153685249,0.210092657712071,0.06,HEN-48-MGE-S198
7,NR_025981.1,1,1477,1,1386,93.8389,0.938389,34,1,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,0.938388625592417,0.24052979708379,0.256322157498383,0.01,HEN-48-MGE-S198
8,NR_026100.1,1,1499,22,1468,97.932,20.962,35.5,1.86,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,20.9619746497665,3.99673035217979,0.190665737315177,0.21,HEN-48-MGE-S198
9,NR_026312.1,1,1482,16,1455,98.1781,13.3246,32.2,19.1,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,13.3245614035088,4.32810999173409,0.324821948030077,0.16,HEN-48-MGE-S198
10,NR_026331.1,1,1488,5,1464,98.3871,4.88978,36.2,0,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,4.88978494623656,0.649827834621464,0.13289497222605,0.05,HEN-48-MGE-S198
11,NR_026409.1,1,1495,2,1468,98.194,1.88495,31.9,2,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,1.88494983277592,0.371518980542383,0.197097542906623,0.02,HEN-48-MGE-S198
12,NR_026493.1,1,1488,5,1461,98.1855,4.84073,33,1,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,4.84072580645161,0.733139106615963,0.151452310238033,0.05,HEN-48-MGE-S198
13,NR_027549.1,1,1473,1,1358,92.1928,0.921928,27.8,0,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,0.921928038017651,0.268375907953991,0.291102881013423,0.01,HEN-48-MGE-S198
14,NR_028664.1,1,1520,1,1453,95.5921,0.955921,39.9,0,28037,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mitis,0.955921052631579,0.205338094530417,0.214806540733815,0.01,HEN-48-MGE-S198
15,NR_028812.1,1,1408,1,1360,96.5909,0.965909,30.7,1,156456,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Anaeroglobus,Anaeroglobus geminatus,0.965909090909091,0.181527194944342,0.187934037118849,0.01,HEN-48-MGE-S198
16,NR_029097.1,1,1374,247,1323,96.2882,231.51,34.6,2.93,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,231.51018922853,50.1949394134236,0.2168152493879,2.41,HEN-48-MGE-S198
17,NR_029207.1,1,1426,2,1388,97.3352,1.91445,31.6,1,907,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,1.91444600280505,0.36279849159459,0.189505732239518,0.02,HEN-48-MGE-S198
18,NR_037088.1,1,1453,1,1420,97.7288,0.977288,32.8,1,76122,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Alloprevotella tannerae,0.977288368891948,0.149033886391649,0.152497349948638,0.01,HEN-48-MGE-S198
19,NR_040877.1,1,1494,3,1474,98.6613,2.81392,21.8,0.333,537011,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri,2.81392235609103,0.524209873321951,0.186291520157706,0.03,HEN-48-MGE-S198
20,NR_041277.1,1,1490,6,1450,97.3154,5.75034,33.6,48.3,484018,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius,5.7503355704698,1.00940002134894,0.175537585411989,0.06,HEN-48-MGE-S198
21,NR_041313.1,1,1485,2,1446,97.3737,1.93468,37.9,21,338188,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides finegoldii,1.93468013468013,0.337127525384608,0.174254916531898,0.02,HEN-48-MGE-S198
22,NR_041342.1,1,1488,141,1488,100,135.224,32.9,8.4,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,135.224462365591,21.3736261815007,0.158060352450988,1.38,HEN-48-MGE-S198
23,NR_041343.1,1,1492,105,1491,99.933,99.6139,34.3,53.8,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,99.6139410187668,17.3518376829968,0.174190856275105,1.02,HEN-48-MGE-S198
24,NR_041351.1,1,1493,17,1474,98.7274,15.6477,29.7,11,357276,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola dorei,15.6476892163429,3.04926973719257,0.194870290113368,0.17,HEN-48-MGE-S198
25,NR_041446.1,1,1456,19,1452,99.7253,17.6188,28.6,2.84,376804,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola barnesiae,17.6188186813187,2.71933946499216,0.154342894048594,0.19,HEN-48-MGE-S198
26,NR_041508.1,1,1461,1,1326,90.7598,0.907598,28,1,397865,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella viscericola,0.907597535934292,0.289692405779867,0.319185976504061,0.01,HEN-48-MGE-S198
27,NR_041590.1,1,1342,1344,1317,98.1371,1265.18,35.6,7.33,742816,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,1265.18107302534,274.16531452072,0.216700455267741,13.11,HEN-48-MGE-S198
28,NR_041668.1,1,1484,2,1356,91.3747,1.82075,37.3,0,742726,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella intestinihominis,1.82075471698113,0.565542814287566,0.310609006810788,0.02,HEN-48-MGE-S198
29,NR_042152.1,1,1456,3,1314,90.2473,2.4581,20.8,0.333,168384,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Marvinbryantia,Marvinbryantia formatexigens,2.4581043956044,0.951556644044918,0.387109939572339,0.03,HEN-48-MGE-S198
30,NR_042927.1,1,1471,6,1468,99.7961,5.96737,38.9,1,655813,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus oralis,5.96736913664174,0.315618083337755,0.0528906585315377,0.06,HEN-48-MGE-S198
31,NR_043224.1,1,1455,14,1445,99.3127,13.4756,32.6,0,305719,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella baroniae,13.4756013745704,1.87594705083851,0.139210636964861,0.14,HEN-48-MGE-S198
32,NR_043656.1,1,1540,2,1408,91.4286,1.64481,30.4,1,349094,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera sueciensis,1.64480519480519,0.633024671660403,0.38486300606278,0.02,HEN-48-MGE-S198
33,NR_043657.1,1,1553,245,1531,98.5834,223.748,31.8,10.5,349095,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera paucivorans,223.747585318738,49.3258485842858,0.220453099031299,2.39,HEN-48-MGE-S198
34,NR_044473.1,1,1399,16,1397,99.857,14.8606,28.3,2.81,491921,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas rupellensis,14.8606147248034,2.00853327494215,0.135158155442235,0.16,HEN-48-MGE-S198
35,NR_074376.1,1,1497,13,1474,98.4636,12.1443,30.8,1.46,435591,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,12.1442885771543,2.12805830055741,0.175231203296724,0.13,HEN-48-MGE-S198
36,NR_074515.1,1,1510,5,1450,96.0265,4.70662,33.9,37.6,435590,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,4.70662251655629,1.01774636846962,0.216237092498821,0.05,HEN-48-MGE-S198
37,NR_074902.1,1,1542,7,1464,94.9416,6.59857,39.3,0.429,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,6.59857328145266,1.53913197285457,0.233252236082727,0.07,HEN-48-MGE-S198
38,NR_102893.1,1,1537,1,1439,93.6239,0.936239,33.3,1,43305,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio proteoclasticus,0.936239427456083,0.244405454052289,0.261050161833473,0.01,HEN-48-MGE-S198
39,NR_102980.1,1,1552,1042,1527,98.3892,979.119,36,1.52,1064535,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,979.118556701031,210.373568110677,0.214860158323926,10.17,HEN-48-MGE-S198
