index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_025230.1,1,1411,40,1406,99.6456,37.1262,31.1,3.12,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,37.1261516654855,5.18997567626706,0.139792988054077,0.23,JAR-21-MGE-S185
1,NR_025514.1,1,1518,603,1508,99.3412,571.568,32.6,34.3,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,571.567852437418,96.3908097682441,0.168642811797744,3.5,JAR-21-MGE-S185
2,NR_025518.1,1,1494,1296,1464,97.992,1217.22,35.2,50.6,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,1217.22356091031,262.918930316409,0.215998883656001,7.53,JAR-21-MGE-S185
3,NR_025525.1,1,1475,2,1434,97.2203,1.93966,38.1,47.5,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,1.93966101694915,0.335212756219806,0.172820278023144,0.01,JAR-21-MGE-S185
4,NR_025567.1,1,1498,25,1471,98.1976,23.7417,34.2,11.4,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,23.741655540721,4.29514186223686,0.180911640928745,0.15,JAR-21-MGE-S185
5,NR_025569.1,1,1494,1,1449,96.988,0.96988,28.9,1,208962,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,0.969879518072289,0.170976037210588,0.176285852030793,0.01,JAR-21-MGE-S185
6,NR_025796.1,1,1435,2,1343,93.5889,1.8223,28.6,3.5,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,1.82229965156794,0.523963019944209,0.287528464099403,0.01,JAR-21-MGE-S185
7,NR_025981.1,1,1477,1,1362,92.2139,0.922139,41,1,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,0.922139471902505,0.268042739266903,0.29067483546051,0.01,JAR-21-MGE-S185
8,NR_026075.1,1,1468,1,1177,80.1771,0.801771,39.4,1,13335,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,0.801771117166213,0.398801369661657,0.497400518830342,0.01,JAR-21-MGE-S185
9,NR_026100.1,1,1499,12,1447,96.531,11.4623,34.5,2.67,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,11.4623082054703,2.22328681942928,0.193965018177424,0.07,JAR-21-MGE-S185
10,NR_026312.1,1,1482,1,1326,89.4737,0.894737,26.6,3,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,0.894736842105263,0.306995797300291,0.343112949923854,0.01,JAR-21-MGE-S185
11,NR_026330.1,1,1474,1,1429,96.9471,0.969471,35.4,16,53442,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium callanderi,0.969470827679783,0.172096586431865,0.177516003079475,0.01,JAR-21-MGE-S185
12,NR_026331.1,1,1488,226,1488,100,220.422,37.5,14.8,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,220.422043010753,27.6662907325494,0.12551508167992,1.31,JAR-21-MGE-S185
13,NR_026409.1,1,1495,4,1452,97.1237,3.78997,34.5,2,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,3.78996655518395,0.720724710727417,0.190166509448904,0.02,JAR-21-MGE-S185
14,NR_026476.1,1,1463,5,1437,98.2228,4.44224,23.3,4.8,83771,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,4.44224196855776,1.115390850117,0.251087369398548,0.03,JAR-21-MGE-S185
15,NR_026493.1,1,1488,2,1454,97.7151,1.94288,38.1,16.5,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,1.94287634408602,0.315636534356613,0.162458375345085,0.01,JAR-21-MGE-S185
16,NR_026494.1,1,1499,1,1422,94.8632,0.948632,28.8,0,84030,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora saccharolytica,0.94863242161441,0.220820016338406,0.232777218348292,0.01,JAR-21-MGE-S185
17,NR_027549.1,1,1473,9,1457,98.9138,8.69586,32.6,6.89,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,8.69585879158181,1.24393767390829,0.1430494334973,0.05,JAR-21-MGE-S185
18,NR_028607.1,1,1495,1,1325,88.6288,0.886288,18.4,1,85831,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides acidifaciens,0.88628762541806,0.317567832428739,0.358312384513935,0.01,JAR-21-MGE-S185
19,NR_028812.1,1,1408,1,1186,84.233,0.84233,20.1,1,156456,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Anaeroglobus,Anaeroglobus geminatus,0.842329545454545,0.364561208819274,0.432801165276171,0.01,JAR-21-MGE-S185
20,NR_028862.1,1,1537,79,1534,99.8048,75.7391,34.4,58.6,209880,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,75.7391021470397,12.6670704763869,0.167246113530565,0.46,JAR-21-MGE-S185
