index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_025230.1,1,1411,3,1342,95.1099,2.837,39.9,1,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,2.83699503897945,0.659092896392202,0.232320778618385,0.02,HER-58-MGE-L180
1,NR_025452.1,1,1380,1,1339,97.029,0.97029,35.3,40,158787,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium scardovii,0.970289855072464,0.169848040384086,0.175048764548199,0.01,HER-58-MGE-L180
2,NR_025514.1,1,1518,127,1406,92.6219,115.265,38,24.1,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,115.264822134387,33.2848470406495,0.288768476143074,0.88,HER-58-MGE-L180
3,NR_025518.1,1,1494,4,1353,90.5622,3.57631,39.9,33.5,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,3.57630522088353,1.17998524313865,0.32994534030491,0.03,HER-58-MGE-L180
4,NR_025525.1,1,1475,1,1323,89.6949,0.896949,35.1,53,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,0.896949152542373,0.304128390890233,0.33906982355487,0.01,HER-58-MGE-L180
5,NR_025567.1,1,1498,4,1390,92.7904,3.63618,37.6,13.2,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,3.63618157543391,1.07025083326286,0.294333715481507,0.03,HER-58-MGE-L180
6,NR_025569.1,1,1494,2,1163,77.8447,1.51606,40.8,0.5,208962,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,1.51606425702811,0.832653445378902,0.549220418276415,0.01,HER-58-MGE-L180
7,NR_026312.1,1,1482,4,1285,86.7072,2.83941,39.5,16.2,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,2.83940620782726,1.51244637685155,0.532662911239067,0.03,HER-58-MGE-L180
8,NR_026331.1,1,1488,118,1389,93.3468,109.182,40.5,5.85,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,109.182123655914,29.2816442555544,0.268190829002696,0.81,HER-58-MGE-L180
9,NR_026332.1,1,1487,6,1388,93.3423,5.51715,39.8,2,622,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,5.51714862138534,1.51246785894121,0.27413940836733,0.04,HER-58-MGE-L180
10,NR_026409.1,1,1495,1,1304,87.2241,0.872241,42,1,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,0.872240802675585,0.333933188484629,0.382845181583221,0.01,HER-58-MGE-L180
11,NR_026493.1,1,1488,1,1351,90.793,0.90793,42.3,1,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,0.907930107526882,0.289221789051925,0.318550719547938,0.01,HER-58-MGE-L180
12,NR_027549.1,1,1473,2,1315,89.2736,1.66531,39.6,57.5,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,1.6653088934148,0.661436433226494,0.397185432589737,0.01,HER-58-MGE-L180
13,NR_028862.1,1,1537,3,1426,92.7781,2.45478,38,57,209880,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,2.45478204294079,0.960518574667612,0.391284667178404,0.02,HER-58-MGE-L180
14,NR_028866.1,1,1486,1,872,58.681,0.58681,36.6,10,752555,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella bryantii,0.586810228802153,0.492572085674307,0.839406100128464,0.01,HER-58-MGE-L180
15,NR_029097.1,1,1374,75,1282,93.3042,67.6972,37.9,1.05,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,67.6972343522562,18.7031872425599,0.276276976770419,0.52,HER-58-MGE-L180
16,NR_029137.1,1,1514,15,1379,91.0832,13.4657,36.8,8.53,78257,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pullorum,13.4656538969617,4.27729476391914,0.317644787000225,0.1,HER-58-MGE-L180
17,NR_029207.1,1,1426,18,1417,99.3689,17.6648,38.3,3.89,907,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,17.6647966339411,1.84519723493349,0.10445618328762,0.12,HER-58-MGE-L180
18,NR_029356.1,1,1550,2,1148,74.0645,1.45613,39.9,1,292800,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,1.45612903225806,0.875945223736137,0.601557419933989,0.01,HER-58-MGE-L180
19,NR_036800.1,1,1481,18,1368,92.37,15.3727,39.1,26.5,411470,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] gnavus,15.3727211343687,4.72259218886371,0.307206001304834,0.12,HER-58-MGE-L180
20,NR_036853.1,1,1514,18,1375,90.819,16.2193,39.9,7,1683,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium angulatum,16.21928665786,5.2465452599118,0.32347570954172,0.12,HER-58-MGE-L180
