index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024841.1,1,1460,48,1401,95.9589,45.1199,39.4,6.71,888807,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sanguinis,45.1198630136986,9.50646488200773,0.210693567024384,0.19,GOO-4-MGE-L223
2,NR_024946.1,1,1458,3,1384,94.9246,2.83128,39.6,10.7,296,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fragi,2.83127572016461,0.670228670122582,0.23672320761597,0.01,GOO-4-MGE-L223
3,NR_025423.1,1,1468,2,1378,93.8692,1.8658,36.4,6.5,249188,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus pittmaniae,1.8658038147139,0.488841647612792,0.262000561772756,0.01,GOO-4-MGE-L223
4,NR_025514.1,1,1518,1,1327,87.4177,0.874177,37.2,1,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,0.874176548089592,0.331759577199147,0.379510955680712,0,GOO-4-MGE-L223
5,NR_025518.1,1,1494,14,1359,90.9639,12.3072,37.7,26.7,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,12.3072289156627,4.04330062260891,0.328530544959901,0.06,GOO-4-MGE-L223
6,NR_025569.1,1,1494,6,1381,92.4364,4.5,39.9,0.833,208962,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,4.5,1.85609186898761,0.412464859775023,0.02,GOO-4-MGE-L223
7,NR_025862.1,1,1406,5,1406,100,4.97653,41.1,60,46124,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella adiacens,4.97652916073969,0.151447258485529,0.0304323060498291,0.02,GOO-4-MGE-L223
8,NR_025863.1,1,1411,26,1407,99.7165,25.2346,39.3,58.2,46125,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,25.2345854004252,2.36543553521285,0.093737840256848,0.1,GOO-4-MGE-L223
9,NR_025903.1,1,1537,17,1406,91.4769,15.3604,39.7,7.53,1379,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,unclassified Bacillales family,Gemella,Gemella haemolysans,15.3604424202993,4.75084387372077,0.30929082273323,0.07,GOO-4-MGE-L223
10,NR_025904.1,1,1536,15,1406,91.5365,13.2539,39.7,2.27,29391,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,unclassified Bacillales family,Gemella,Gemella morbillorum,13.25390625,4.19639806479808,0.316615945944093,0.06,GOO-4-MGE-L223
