index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024640.1,1,1422,1,1394,98.0309,0.980309,20.7,1,61645,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter asburiae,0.980309423347398,0.138983602771541,0.141775238982161,0.01,HER-45-MGE-S127
1,NR_025230.1,1,1411,5,1402,99.3622,4.58894,16.6,5,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,4.58894401133948,0.755869480354335,0.16471534158764,0.05,HER-45-MGE-S127
2,NR_025514.1,1,1518,473,1509,99.4071,443.526,19.4,35.2,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,443.525691699605,76.1142693760665,0.17161186105002,4.41,HER-45-MGE-S127
3,NR_025525.1,1,1475,1,1275,86.4407,0.864407,14.9,1,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,0.864406779661017,0.34247221156393,0.396193342789645,0.01,HER-45-MGE-S127
4,NR_025567.1,1,1498,14,1456,97.1963,13.1943,20.3,9.5,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,13.194259012016,2.49226869032717,0.188890386952194,0.13,HER-45-MGE-S127
5,NR_025796.1,1,1435,1,1363,94.9826,0.949826,21.4,1,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,0.949825783972126,0.218380396376628,0.229916264710536,0.01,HER-45-MGE-S127
6,NR_025981.1,1,1477,5,1446,97.9012,4.522,18.2,16.2,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,4.52200406228842,1.00827701514955,0.222971275846067,0.05,HER-45-MGE-S127
7,NR_026100.1,1,1499,37,1461,97.465,34.8219,20.1,2.86,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,34.8218812541695,6.713945507843,0.19280823625918,0.34,HER-45-MGE-S127
8,NR_026106.1,1,1489,1,1365,91.6723,0.916723,17.2,1,29322,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,[Eubacterium] cellulosolvens,0.916722632639355,0.276393836255345,0.301502140794292,0.01,HER-45-MGE-S127
9,NR_026312.1,1,1482,1,1313,88.5965,0.885965,15.7,37,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,0.885964912280702,0.317961168450536,0.358886863399614,0.01,HER-45-MGE-S127
