index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024946.1,1,1458,6,1384,94.9246,5.63992,39.8,18.2,296,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fragi,5.63991769547325,1.33017273278895,0.235849670972429,0.06,BUD-16-DRS-L161
1,NR_025230.1,1,1411,11,1349,95.606,9.9922,38.7,2,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,9.99220411055989,2.42956293609303,0.243145847423737,0.11,BUD-16-DRS-L161
2,NR_025514.1,1,1518,2,1406,92.6219,1.7892,39.6,21,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,1.78919631093544,0.560477489422958,0.31325656441239,0.02,BUD-16-DRS-L161
3,NR_025518.1,1,1494,4,1354,90.6292,3.56426,39.5,33.5,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,3.56425702811245,1.17786327974049,0.33046530327367,0.04,BUD-16-DRS-L161
4,NR_025567.1,1,1498,3,1387,92.5901,2.73231,38.7,26.3,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,2.73230974632844,0.803988142149644,0.294252195685357,0.03,BUD-16-DRS-L161
5,NR_025569.1,1,1494,9,1375,92.0348,7.55689,39.3,3.67,208962,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,7.55689424364123,2.68016754148486,0.354665217624303,0.09,BUD-16-DRS-L161
6,NR_026100.1,1,1499,1,1346,89.7932,0.897932,42.1,1,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,0.897931954636424,0.302838803922367,0.337262531262726,0.01,BUD-16-DRS-L161
7,NR_026314.1,1,1458,1,1316,90.2606,0.902606,30.5,2,53443,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,0.902606310013717,0.296594831683154,0.328598225375409,0.01,BUD-16-DRS-L161
8,NR_026331.1,1,1488,1412,1393,93.6156,1301.61,40.6,12.5,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,1301.60954301075,349.100450456219,0.268206738595904,13.51,BUD-16-DRS-L161
9,NR_026332.1,1,1487,19,1388,93.3423,17.3853,39.9,4.26,622,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,17.3853396099529,4.72203109482519,0.271609942673876,0.18,BUD-16-DRS-L161
10,NR_026409.1,1,1495,10,1384,92.5753,9.05284,38.3,1.1,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,9.05284280936455,2.65065794894198,0.292798406507186,0.1,BUD-16-DRS-L161
11,NR_026476.1,1,1463,1,1340,91.5926,0.915926,39,11,83771,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,0.915926179084074,0.277593380385813,0.303073966794361,0.01,BUD-16-DRS-L161
13,NR_026493.1,1,1488,4,1381,92.8091,3.47782,38.1,1,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,3.47782258064516,1.0721353489949,0.308277758319693,0.04,BUD-16-DRS-L161
14,NR_026494.1,1,1499,2,1364,90.994,1.52835,39.1,1,84030,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora saccharolytica,1.52835223482322,0.655440938436393,0.428854634096968,0.02,BUD-16-DRS-L161
15,NR_027196.1,1,1342,3,1342,100,2.7839,38.9,5.67,449673,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,2.78390461997019,0.427723401070753,0.153641542889976,0.03,BUD-16-DRS-L161
16,NR_027549.1,1,1473,70,1374,93.279,61.201,40.1,11.4,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,61.2009504412763,18.9347154766847,0.30938597097202,0.67,BUD-16-DRS-L161
17,NR_028726.1,1,1502,1,1116,74.3009,0.743009,38.5,1,94868,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora algidixylanolytica,0.743009320905459,0.437119757951004,0.588309925127605,0.01,BUD-16-DRS-L161
18,NR_028964.1,1,1435,3,1354,94.3554,2.79861,40.4,53.3,179628,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium colicanis,2.798606271777,0.707006779425138,0.252628169441004,0.03,BUD-16-DRS-L161
19,NR_029097.1,1,1374,17,1282,93.3042,15.3792,39.1,2.53,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,15.3791848617176,4.2556200523419,0.276712978653058,0.16,BUD-16-DRS-L161
20,NR_029137.1,1,1514,12,1379,91.0832,10.7358,39.7,8.92,78257,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pullorum,10.7357992073976,3.46470444944186,0.322724408542818,0.11,BUD-16-DRS-L161
21,NR_029207.1,1,1426,6,1410,98.878,5.80084,39.8,0.833,907,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,5.80084151472651,0.836634439939489,0.144226391604656,0.06,BUD-16-DRS-L161
