index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_025230.1,1,1411,1,1175,83.2743,0.832743,41.7,1,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,0.832742735648476,0.373337720604642,0.448322998955872,0.01,KOR-44-DRS-L191
1,NR_025379.1,1,1401,1,1349,96.2884,0.962884,37.6,1,111015,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces radicidentis,0.962883654532477,0.189114383444232,0.196404189181148,0.01,KOR-44-DRS-L191
2,NR_025452.1,1,1380,1,1335,96.7391,0.967391,36.6,1,158787,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium scardovii,0.967391304347826,0.1776745456144,0.183663575241852,0.01,KOR-44-DRS-L191
3,NR_025514.1,1,1518,41,1406,92.6219,36.8854,38,24.3,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,36.8853754940712,10.6739307898993,0.289381106927188,0.32,KOR-44-DRS-L191
4,NR_025518.1,1,1494,4,1353,90.5622,3.57631,39.2,26,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,3.57630522088353,1.18055273442303,0.330104021191842,0.03,KOR-44-DRS-L191
5,NR_025567.1,1,1498,11,1390,92.7904,10.016,38.9,16.3,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,10.0160213618158,2.89836932562197,0.289373317100887,0.09,KOR-44-DRS-L191
6,NR_025981.1,1,1477,1,1343,90.9276,0.909276,42.9,1,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,0.909275558564658,0.287314126137862,0.315981358380955,0.01,KOR-44-DRS-L191
7,NR_026075.1,1,1468,1,1075,73.2289,0.732289,36.3,1,13335,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,0.732288828337875,0.442917074394182,0.604839316475031,0.01,KOR-44-DRS-L191
8,NR_026312.1,1,1482,2,1142,77.058,1.45344,39.4,41,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,1.45344129554656,0.840921430168651,0.578572683152247,0.02,KOR-44-DRS-L191
9,NR_026314.1,1,1458,1,1340,91.9067,0.919067,30.1,10,53443,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,0.919067215363512,0.272825440423496,0.29685036726676,0.01,KOR-44-DRS-L191
10,NR_026331.1,1,1488,2,1388,93.2796,1.85215,39.4,21.5,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,1.85215053763441,0.5104642178842,0.275606225040526,0.02,KOR-44-DRS-L191
11,NR_026409.1,1,1495,1,1327,88.7625,0.887625,43.5,1,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,0.887625418060201,0.315932429520671,0.355929903642354,0.01,KOR-44-DRS-L191
12,NR_026493.1,1,1488,1,1365,91.7339,0.917339,36.7,1,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,0.917338709677419,0.275462149164408,0.300284013155047,0.01,KOR-44-DRS-L191
13,NR_028862.1,1,1537,10,1431,93.1034,8.89915,38.7,58.2,209880,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,8.89915419648666,2.4970515035205,0.28059425068804,0.08,KOR-44-DRS-L191
14,NR_028866.1,1,1486,1,1355,91.1844,0.911844,37.9,1,752555,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella bryantii,0.911843876177658,0.283617264483873,0.311037088577886,0.01,KOR-44-DRS-L191
15,NR_029097.1,1,1374,167,1282,93.3042,152.017,38.4,1.4,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,152.017467248908,42.5000713832229,0.279573605272838,1.31,KOR-44-DRS-L191
16,NR_029137.1,1,1514,1,1374,90.753,0.90753,41.2,6,78257,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pullorum,0.907529722589168,0.289784386836579,0.319311180255153,0.01,KOR-44-DRS-L191
17,NR_029356.1,1,1550,2,1378,88.9032,1.76839,40.6,49,292800,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,1.76838709677419,0.632583606490662,0.357717836578083,0.02,KOR-44-DRS-L191
18,NR_036853.1,1,1514,1,1372,90.6209,0.906209,40.1,1,1683,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium angulatum,0.906208718626156,0.291634451046093,0.321818191606257,0.01,KOR-44-DRS-L191
19,NR_037115.2,1,1518,1,1155,76.087,0.76087,38.7,1,1689,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium dentium,0.760869565217391,0.426693108315787,0.560796656643606,0.01,KOR-44-DRS-L191
20,NR_040877.1,1,1494,47,1403,93.909,40.9371,38.5,4.83,537011,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri,40.9370816599732,11.6564487231715,0.284740588496046,0.37,KOR-44-DRS-L191
