index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024640.1,1,1422,142,1374,96.6245,133.769,40.5,15,61645,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter asburiae,133.769338959212,25.6729874054684,0.191919819632931,0.73,JAR-44-DRS-L203
4,NR_025243.1,1,1403,2,1166,83.1076,1.65075,41.7,43.5,566551,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cedecea,Cedecea davisae,1.65074839629366,0.752014277617316,0.45555959909201,0.01,JAR-44-DRS-L203
5,NR_025452.1,1,1380,3,1105,80.0725,2.34203,37.3,1,158787,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium scardovii,2.34202898550725,1.20867132860636,0.516078723229199,0.02,JAR-44-DRS-L203
6,NR_025514.1,1,1518,86,1406,92.6219,77.2826,37.6,18.3,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,77.2826086956522,22.3778860270269,0.289559144090925,0.44,JAR-44-DRS-L203
7,NR_025518.1,1,1494,2,1352,90.4953,1.80187,40.2,34.5,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,1.80187416331995,0.590930987718207,0.327953527359213,0.01,JAR-44-DRS-L203
8,NR_025525.1,1,1475,1,1350,91.5254,0.915254,36.8,60,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,0.915254237288136,0.278597451167742,0.304393511461051,0.01,JAR-44-DRS-L203
9,NR_025567.1,1,1498,6,1391,92.8571,5.46796,39.9,13.3,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,5.46795727636849,1.57233980777673,0.28755524747278,0.03,JAR-44-DRS-L203
10,NR_025569.1,1,1494,2,1346,90.0937,1.64056,40.5,17.5,208962,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,1.64056224899598,0.654717502831279,0.399081170636447,0.01,JAR-44-DRS-L203
11,NR_025981.1,1,1477,4,1348,91.2661,3.5606,35.6,1.5,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,3.56059580230196,1.15523630417844,0.324450279762607,0.02,JAR-44-DRS-L203
12,NR_026100.1,1,1499,1,1355,90.3936,0.903936,40,1,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,0.90393595730487,0.294777390892703,0.326104287046614,0.01,JAR-44-DRS-L203
14,NR_026312.1,1,1482,1,1071,72.2672,0.722672,41,12,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,0.722672064777328,0.447830857719649,0.61968751740478,0.01,JAR-44-DRS-L203
15,NR_026314.1,1,1458,5,1369,93.8957,4.19204,41.7,16.4,53443,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,4.1920438957476,1.54640586888379,0.368890667021036,0.03,JAR-44-DRS-L203
