index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024815.1,1,1490,2,1440,96.6443,1.87584,18.1,10,228603,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella shahii,1.8758389261745,0.419496485209284,0.223631399986344,0.02,JOA-41-DRS-S65
1,NR_025206.1,1,1449,1,1389,95.8592,0.958592,18.3,1,180286,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Hespellia,Hespellia porcina,0.958592132505176,0.199300447751558,0.207909538367176,0.01,JOA-41-DRS-S65
2,NR_025230.1,1,1411,63,1411,100,58.9249,19,2.81,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,58.9248759744862,6.48216521336822,0.110007278015739,0.55,JOA-41-DRS-S65
3,NR_025514.1,1,1518,491,1508,99.3412,461.127,19.7,34.6,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,461.127140974967,77.812734577025,0.168744642556724,4.29,JOA-41-DRS-S65
4,NR_025518.1,1,1494,636,1464,97.992,587.308,19.6,41.6,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,587.307898259705,128.068327707604,0.218059944514781,5.56,JOA-41-DRS-S65
5,NR_025567.1,1,1498,25,1457,97.263,23.6055,20.7,13.3,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,23.6054739652871,4.36860689404672,0.185067535626311,0.22,JOA-41-DRS-S65
6,NR_025569.1,1,1494,2,1450,97.0549,1.88153,21.1,6.5,208962,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,1.88152610441767,0.404288895932556,0.214872860378242,0.02,JOA-41-DRS-S65
7,NR_025796.1,1,1435,3,1341,93.4495,2.69895,18.5,1,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,2.69895470383275,0.790436399448461,0.292867604753045,0.03,JOA-41-DRS-S65
8,NR_025981.1,1,1477,20,1460,98.849,18.0555,19.1,3.35,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,18.0555179417739,4.13634884826736,0.229090567305043,0.17,JOA-41-DRS-S65
9,NR_026075.1,1,1468,7,1413,96.2534,5.69687,17.8,3,13335,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,5.69686648501362,2.03415042515749,0.357064788249576,0.06,JOA-41-DRS-S65
10,NR_026100.1,1,1499,31,1461,97.465,29.1935,20.4,1.32,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,29.1934623082055,5.55839830130781,0.190398735258801,0.27,JOA-41-DRS-S65
11,NR_026331.1,1,1488,137,1478,99.328,130.672,20.2,5.91,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,130.672043010753,17.2362818758766,0.131904893187124,1.2,JOA-41-DRS-S65
12,NR_026409.1,1,1495,15,1455,97.3244,13.6368,19.8,1,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,13.6367892976589,2.67065171473397,0.195841679184151,0.13,JOA-41-DRS-S65
13,NR_026476.1,1,1463,9,1427,97.5393,8.07587,19.8,6.89,83771,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,8.07587149692413,1.67106588522954,0.206920811687754,0.08,JOA-41-DRS-S65
14,NR_026493.1,1,1488,9,1457,97.9167,8.56788,19.6,3.11,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,8.56787634408602,1.40972329345889,0.164535905613525,0.08,JOA-41-DRS-S65
15,NR_026494.1,1,1499,4,1452,96.8646,3.75384,20,0.25,84030,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora saccharolytica,3.75383589059373,0.770867007776067,0.205354477458028,0.03,JOA-41-DRS-S65
16,NR_027549.1,1,1473,12,1461,99.1853,11.4549,19.3,7.08,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,11.4548540393754,1.67081074794464,0.145860500902178,0.1,JOA-41-DRS-S65
17,NR_027557.1,1,1482,2,1440,97.166,1.79082,16.6,1,536231,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Roseburia,Roseburia intestinalis,1.79082321187584,0.471436092149762,0.26325105070307,0.02,JOA-41-DRS-S65
18,NR_027579.1,1,1402,1,1252,89.301,0.89301,15.9,1,471875,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] lactaris,0.893009985734665,0.309210846363876,0.346256874282871,0.01,JOA-41-DRS-S65
19,NR_028726.1,1,1502,1,1408,93.7417,0.937417,18.9,1,94868,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora algidixylanolytica,0.937416777629827,0.242292483649508,0.258468260256791,0.01,JOA-41-DRS-S65
20,NR_028812.1,1,1408,1,1329,94.3892,0.943892,18.6,17,156456,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Anaeroglobus,Anaeroglobus geminatus,0.943892045454545,0.230211842107567,0.243896368463096,0.01,JOA-41-DRS-S65
21,NR_028862.1,1,1537,160,1534,99.8048,150.613,19.9,59.5,209880,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,150.612882238126,26.0315896953086,0.172837736775739,1.4,JOA-41-DRS-S65
22,NR_029097.1,1,1374,587,1328,96.6521,538.177,20.2,1.54,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,538.176855895197,119.118356389159,0.221336824659654,5.13,JOA-41-DRS-S65
23,NR_029207.1,1,1426,9,1397,97.9663,7.91515,17,1,907,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,7.91514726507714,1.72590841965459,0.218051333961855,0.08,JOA-41-DRS-S65
24,NR_029245.1,1,1454,1,1291,88.7895,0.887895,22.2,1,1527,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna aminovalerica,0.887895460797799,0.315603574191895,0.355451275658416,0.01,JOA-41-DRS-S65
25,NR_036800.1,1,1481,9,1451,97.9743,8.32883,19.8,34.4,411470,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] gnavus,8.32883187035787,1.41966375899549,0.170451724934927,0.08,JOA-41-DRS-S65
26,NR_036928.1,1,1431,1,1381,96.5059,0.965059,20.7,1,154046,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Hungatella,Hungatella hathewayi,0.965059399021663,0.183693591695868,0.190344337231561,0.01,JOA-41-DRS-S65
