index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024815.1,1,1490,1,1363,91.4765,0.914765,39.5,1,228603,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella shahii,0.914765100671141,0.279324677048683,0.305351261043682,0,WOL-44-MGE-L178
1,NR_025230.1,1,1411,7,1358,96.2438,6.40326,38.1,1,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,6.40326009922041,1.5148309372569,0.236571826504648,0.03,WOL-44-MGE-L178
2,NR_025300.1,1,1495,1,1367,91.4381,0.914381,37.9,1,77768,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella albensis,0.91438127090301,0.279893844233636,0.306101899875118,0,WOL-44-MGE-L178
3,NR_025452.1,1,1380,3,1355,98.1884,2.7413,37.1,15,158787,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium scardovii,2.74130434782609,0.562707154457773,0.205269858089275,0.01,WOL-44-MGE-L178
4,NR_025514.1,1,1518,267,1406,92.6219,239.599,37.4,11.5,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,239.598814229249,69.2156960237237,0.288881630096457,1.28,WOL-44-MGE-L178
5,NR_025518.1,1,1494,2,1331,89.0897,1.77309,40.8,32.5,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,1.77309236947791,0.627606854540898,0.35396173676259,0.01,WOL-44-MGE-L178
6,NR_025525.1,1,1475,6,1360,92.2034,5.44814,38,36,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,5.44813559322034,1.63509309376948,0.300119750287454,0.03,WOL-44-MGE-L178
7,NR_025567.1,1,1498,14,1391,92.8571,12.8024,38.9,14.6,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,12.8024032042724,3.64741206819761,0.284900577649391,0.07,WOL-44-MGE-L178
8,NR_025981.1,1,1477,6,1346,91.1307,5.37915,39,10.3,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,5.37914691943128,1.72728732235917,0.321108039663247,0.03,WOL-44-MGE-L178
9,NR_026100.1,1,1499,2,1361,90.7939,1.80454,35.6,1,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,1.80453635757171,0.584472622262076,0.323890743353365,0.01,WOL-44-MGE-L178
10,NR_026312.1,1,1482,8,1340,90.4184,6.21727,37.9,13.2,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,6.21727395411606,3.06424984864024,0.492860676761974,0.04,WOL-44-MGE-L178
11,NR_026314.1,1,1458,4,1349,92.524,3.25652,39.3,11.8,53443,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,3.25651577503429,1.39123225208064,0.427214958621223,0.02,WOL-44-MGE-L178
12,NR_026331.1,1,1488,60,1389,93.3468,55.3609,40.9,0.85,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,55.3608870967742,14.8816267077703,0.268811203869554,0.29,WOL-44-MGE-L178
13,NR_026332.1,1,1487,446,1388,93.3423,407.24,40.6,44.7,622,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,407.240080699395,109.652833082207,0.269258450430246,2.14,WOL-44-MGE-L178
14,NR_026409.1,1,1495,1,1352,90.4348,0.904348,41,1,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,0.904347826086957,0.294212059060143,0.325330642229965,0,WOL-44-MGE-L178
15,NR_026494.1,1,1499,1,1352,90.1935,0.901935,41.1,1,84030,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora saccharolytica,0.901934623082055,0.297502274276418,0.329849045222152,0,WOL-44-MGE-L178
16,NR_027196.1,1,1342,5,1342,100,4.69896,39.3,16.6,449673,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,4.69895678092399,0.625328274411126,0.133078107240681,0.02,WOL-44-MGE-L178
