index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024946.1,1,1458,150,1458,100,146.51,34.2,11.8,296,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fragi,146.510288065844,10.9745555121112,0.0749063813674235,0.45,HAM-67-MGE-S12
1,NR_025230.1,1,1411,8,1405,99.5748,7.70446,31.2,1,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,7.70446491849752,0.895125440321221,0.116182687544222,0.02,HAM-67-MGE-S12
2,NR_025514.1,1,1518,128,1509,99.4071,120.901,32.1,29.5,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,120.901185770751,20.3359260062024,0.168202866469504,0.38,HAM-67-MGE-S12
3,NR_025525.1,1,1475,15,1462,99.1186,14.2007,32.3,46.9,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,14.2006779661017,2.26599535610513,0.159569519252128,0.04,HAM-67-MGE-S12
4,NR_025567.1,1,1498,58,1476,98.5314,54.534,32.9,10.3,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,54.5340453938585,10.1447362609492,0.186025742042083,0.17,HAM-67-MGE-S12
5,NR_025796.1,1,1435,2,1348,93.9373,1.81115,31.7,1,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,1.81114982578397,0.524052976489004,0.289348219031059,0.01,HAM-67-MGE-S12
6,NR_025934.1,1,1470,1,1419,96.5306,0.965306,32.1,39,2718,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Cardiobacterium,Cardiobacterium hominis,0.96530612244898,0.183065590370606,0.189645114760247,0,HAM-67-MGE-S12
7,NR_025981.1,1,1477,5,1435,97.1564,4.56737,31.9,4.6,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,4.56736628300609,1.1130377433784,0.243693558696991,0.01,HAM-67-MGE-S12
8,NR_026100.1,1,1499,106,1470,98.0654,100.432,33.9,2.12,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,100.432288192128,19.135415778525,0.19053051685847,0.32,HAM-67-MGE-S12
9,NR_026312.1,1,1482,10,1445,97.5034,8.33941,31.2,15.5,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,8.33940620782726,2.70197350506155,0.324000706732035,0.03,HAM-67-MGE-S12
10,NR_026330.1,1,1474,1,1405,95.3189,0.953189,31.3,1,53442,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium callanderi,0.953188602442334,0.211306371411587,0.221683694989808,0,HAM-67-MGE-S12
11,NR_026331.1,1,1488,42,1488,100,40.6008,36.3,8.95,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,40.6008064516129,5.10764285057965,0.125801512259783,0.13,HAM-67-MGE-S12
12,NR_026409.1,1,1495,19,1488,99.5318,18.1064,33.9,3.68,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,18.1063545150502,3.06075141399588,0.169042940778154,0.06,HAM-67-MGE-S12
13,NR_026493.1,1,1488,39,1484,99.7312,37.2964,32.5,3.28,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,37.2963709677419,5.59735625480383,0.150077771900249,0.12,HAM-67-MGE-S12
14,NR_026494.1,1,1499,2,1436,95.7972,1.85123,33.4,0.5,84030,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora saccharolytica,1.85123415610407,0.459163644987248,0.2480311004814,0.01,HAM-67-MGE-S12
15,NR_027196.1,1,1342,3,1341,99.9255,2.95306,35.2,1,449673,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,2.95305514157973,0.228542171547468,0.0773917724493319,0.01,HAM-67-MGE-S12
16,NR_027549.1,1,1473,8,1469,99.7284,7.60692,35.6,2.5,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,7.60692464358452,1.15668231302193,0.152056496839028,0.02,HAM-67-MGE-S12
17,NR_028812.1,1,1408,1,1355,96.2358,0.962358,29.7,1,156456,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Anaeroglobus,Anaeroglobus geminatus,0.962357954545455,0.190396607700389,0.197843855086456,0,HAM-67-MGE-S12
18,NR_028862.1,1,1537,26,1537,100,24.9597,33.3,59.9,209880,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,24.9596616785947,3.72067518654846,0.149067532823945,0.08,HAM-67-MGE-S12
19,NR_029097.1,1,1374,631,1330,96.7977,586.781,32.8,2.07,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,586.780931586608,126.58475697925,0.215727454941275,1.88,HAM-67-MGE-S12
20,NR_029207.1,1,1426,6,1415,99.2286,5.73001,30.9,1,907,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,5.73001402524544,0.886172689091056,0.154654541016258,0.02,HAM-67-MGE-S12
21,NR_029221.1,1,1393,1,905,64.9677,0.649677,29.1,1,2741,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Peptococcaceae,Peptococcus,Peptococcus niger,0.64967695620962,0.477242404061507,0.734584164483624,0,HAM-67-MGE-S12
22,NR_029356.1,1,1550,216,1482,95.6129,197.959,33.2,44.2,292800,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,197.95935483871,51.2578164179347,0.258931013690652,0.64,HAM-67-MGE-S12
24,NR_036800.1,1,1481,45,1472,99.3923,42.9251,33.6,54.7,411470,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] gnavus,42.9250506414585,6.40516475626241,0.149217407097852,0.13,HAM-67-MGE-S12
25,NR_037068.1,1,1441,1,1387,96.2526,0.962526,34.5,1,29375,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora xylanolytica,0.962526023594726,0.189986120242512,0.197382840136597,0,HAM-67-MGE-S12
26,NR_037088.1,1,1453,28,1450,99.7935,26.9766,31.7,3,76122,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Alloprevotella tannerae,26.9766001376462,3.15543219620085,0.116969231856515,0.08,HAM-67-MGE-S12
27,NR_040866.1,1,1425,193,1425,100,185.222,32.5,11,820,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,185.221754385965,21.6156402361541,0.116701411817488,0.58,HAM-67-MGE-S12
28,NR_041277.1,1,1490,7523,1490,100,7184.12,32.7,56.8,484018,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius,7184.12483221477,1156.30061634803,0.160952188798696,22.43,HAM-67-MGE-S12
29,NR_041278.1,1,1490,6,1435,96.3087,5.26577,34,1,470145,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola coprocola,5.26577181208054,1.28345214320833,0.243734857682948,0.02,HAM-67-MGE-S12
30,NR_041313.1,1,1485,5,1465,98.6532,4.8,32,46.2,338188,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides finegoldii,4.8,0.775987328654151,0.161664026802948,0.01,HAM-67-MGE-S12
31,NR_041342.1,1,1488,339,1488,100,323.521,32.5,38.7,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,323.520833333333,52.4645674402811,0.162167508347833,1.01,HAM-67-MGE-S12
32,NR_041343.1,1,1492,308,1492,100,291.286,32.6,52.6,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,291.286193029491,49.4250158340095,0.169678539583253,0.92,HAM-67-MGE-S12
33,NR_041351.1,1,1493,400,1492,99.933,376.827,31.7,28.7,357276,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola dorei,376.826523777629,62.7947744067971,0.166641068089605,1.19,HAM-67-MGE-S12
34,NR_041364.1,1,1488,2,1401,94.1532,1.83804,30.5,2.5,1002367,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella stercorea,1.8380376344086,0.502827960870317,0.273567826608787,0.01,HAM-67-MGE-S12
35,NR_041446.1,1,1456,184,1456,100,175.291,31.7,3.73,376804,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola barnesiae,175.291208791209,22.7297060645712,0.129668260155846,0.55,HAM-67-MGE-S12
36,NR_041461.1,1,1492,3,1447,96.9839,2.79424,30.3,1,387090,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola coprophilus,2.79423592493298,0.614943808785865,0.220075836581557,0.01,HAM-67-MGE-S12
37,NR_041508.1,1,1461,3,1381,94.5243,2.7577,33.1,1,397865,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella viscericola,2.75770020533881,0.726327727403992,0.263381685216489,0.01,HAM-67-MGE-S12
38,NR_041590.1,1,1342,787,1313,97.839,735.077,33,32.5,742816,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,735.077496274218,160.340135154545,0.218126845084005,2.35,HAM-67-MGE-S12
39,NR_041627.1,1,1481,6,1443,97.4342,5.57461,29.2,0.167,762982,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,Paraprevotella xylaniphila,5.57461174881837,1.13005782014102,0.202715071660471,0.02,HAM-67-MGE-S12
40,NR_041668.1,1,1484,7,1454,97.9784,6.54852,33.8,0.143,742726,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella intestinihominis,6.54851752021563,1.34818544882112,0.205876436103163,0.02,HAM-67-MGE-S12
41,NR_042152.1,1,1456,8,1451,99.6566,6.79258,31.7,0.125,168384,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Marvinbryantia,Marvinbryantia formatexigens,6.79258241758242,2.04407784098522,0.300927940998431,0.02,HAM-67-MGE-S12
