index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024946.1,1,1458,2,1383,94.856,1.87449,39.2,24,296,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fragi,1.87448559670782,0.461288565689247,0.246088082244757,0.02,MAR-70-DRS-L209
1,NR_025230.1,1,1411,1,1137,80.5811,0.805811,37.6,1,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,0.805811481218994,0.395714943120062,0.491076327829734,0.01,MAR-70-DRS-L209
2,NR_025514.1,1,1518,13,1406,92.6219,11.6337,38.1,18.1,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,11.6337285902503,3.41159690928502,0.293250515758475,0.1,MAR-70-DRS-L209
3,NR_025518.1,1,1494,7082,1363,91.2316,6324.48,39.1,28,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,6324.48393574297,2059.04100853419,0.325566643769537,56.33,MAR-70-DRS-L209
4,NR_026075.1,1,1468,97,1337,91.0763,75.8188,39,4.09,13335,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,75.8188010899183,32.6610716911577,0.430778002575151,0.77,MAR-70-DRS-L209
5,NR_026312.1,1,1482,1,1129,76.1808,0.761808,40.5,13,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,0.761808367071525,0.426120759652771,0.559354265549519,0.01,MAR-70-DRS-L209
6,NR_026409.1,1,1495,1,1363,91.1706,0.911706,42.7,1,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,0.911705685618729,0.283817387720941,0.311303737815706,0.01,MAR-70-DRS-L209
7,NR_026476.1,1,1463,123,1354,92.5496,110.972,37.2,2.54,83771,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,110.971975393028,32.5594673348109,0.293402611060094,0.98,MAR-70-DRS-L209
8,NR_026493.1,1,1488,1,1361,91.4651,0.914651,40.3,1,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,0.914650537634409,0.279494955074839,0.305575674615254,0.01,MAR-70-DRS-L209
9,NR_028862.1,1,1537,4,1431,93.1034,3.66103,39.5,56.5,209880,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,3.66102797657775,1.04220681072721,0.284676002859022,0.03,MAR-70-DRS-L209
10,NR_029097.1,1,1374,23,1282,93.3042,20.9549,37.8,1,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,20.9548762736536,5.81639458589718,0.27756759381157,0.18,MAR-70-DRS-L209
11,NR_029137.1,1,1514,13,1379,91.0832,11.5727,38.8,4.77,78257,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pullorum,11.5726552179657,3.71849025981099,0.321316948424966,0.1,MAR-70-DRS-L209
12,NR_036856.1,1,1517,2,1378,90.8372,1.80158,38.6,2,78448,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pullorum,1.80158206987475,0.58526103315891,0.324859490414221,0.02,MAR-70-DRS-L209
13,NR_040866.1,1,1425,4,1391,97.614,3.70316,37.8,7.5,820,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,3.70315789473684,0.725457909186455,0.195902505323233,0.03,MAR-70-DRS-L209
14,NR_040877.1,1,1494,1,1341,89.759,0.89759,39.9,6,537011,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri,0.897590361445783,0.303287772709607,0.337891075636206,0.01,MAR-70-DRS-L209
15,NR_041277.1,1,1490,1899,1404,94.2282,1743.84,38.7,56.9,484018,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius,1743.8355704698,459.899028771957,0.26372843664845,15.1,MAR-70-DRS-L209
