index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024841.1,1,1460,1,1395,95.5479,0.955479,42.5,1,888807,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sanguinis,0.955479452054795,0.206319229988791,0.215932670812642,0,PAD-1-MGE-L96
1,NR_024946.1,1,1458,10,1384,94.9246,9.41838,38.1,10.3,296,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fragi,9.41838134430727,2.19920547516887,0.233501426070217,0.05,PAD-1-MGE-L96
2,NR_025514.1,1,1518,12,1405,92.556,10.8933,38.6,2.42,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,10.8932806324111,3.22182646382243,0.295762734160768,0.06,PAD-1-MGE-L96
3,NR_025518.1,1,1494,1,1338,89.5582,0.895582,37.7,31,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,0.895582329317269,0.305903998193627,0.34156993520275,0,PAD-1-MGE-L96
4,NR_025567.1,1,1498,2,1387,92.5901,1.84246,40.7,10.5,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,1.84245660881175,0.530196872775435,0.287766273702029,0.01,PAD-1-MGE-L96
5,NR_025569.1,1,1494,5,1367,91.4993,3.61647,41.4,0.6,208962,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,3.61646586345382,1.72395651962376,0.476696472389025,0.02,PAD-1-MGE-L96
6,NR_025863.1,1,1411,1,1387,98.2991,0.982991,44.3,60,46125,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,0.982990786676116,0.129351297137226,0.131589531550559,0,PAD-1-MGE-L96
7,NR_026075.1,1,1468,1,1007,68.5967,0.685967,34.6,15,13335,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,0.685967302452316,0.46428763035621,0.676836386656322,0,PAD-1-MGE-L96
8,NR_026242.1,1,1422,3,1368,96.2025,2.8045,35.8,20.7,47678,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae,2.80450070323488,0.627569283697396,0.22377219694526,0.01,PAD-1-MGE-L96
9,NR_026331.1,1,1488,7131,1391,93.4812,6599.67,40.6,13.3,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,6599.6747311828,1766.21645101304,0.267621742427373,32.93,PAD-1-MGE-L96
10,NR_026332.1,1,1487,39,1388,93.3423,34.2434,39.2,7.46,622,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,34.2434431741762,9.5799347832599,0.279759682299833,0.18,PAD-1-MGE-L96
11,NR_026409.1,1,1495,1,1375,91.9732,0.919732,40.4,1,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,0.919732441471572,0.271797887564388,0.295518430479098,0,PAD-1-MGE-L96
12,NR_026493.1,1,1488,1,1351,90.793,0.90793,38.3,5,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,0.907930107526882,0.289221789051925,0.318550719547938,0,PAD-1-MGE-L96
13,NR_027196.1,1,1342,1,1200,89.4188,0.894188,38,60,449673,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,0.894187779433681,0.307711798347648,0.34412436115212,0,PAD-1-MGE-L96
14,NR_027549.1,1,1473,198,1374,93.279,172.608,39.6,5.92,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,172.60760353021,51.4269426592471,0.297941351408926,0.91,PAD-1-MGE-L96
15,NR_028682.1,1,1538,1,1401,91.0923,0.910923,43.3,23,137732,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella elegans,0.910923276983095,0.284947105487359,0.312811312091048,0,PAD-1-MGE-L96
16,NR_029097.1,1,1374,6,1282,93.3042,5.52038,39.4,1,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,5.52037845705968,1.52925570707692,0.277020084577942,0.03,PAD-1-MGE-L96
17,NR_029137.1,1,1514,1,1362,89.9604,0.899604,41.3,1,78257,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pullorum,0.899603698811097,0.30062697451362,0.33417712144906,0,PAD-1-MGE-L96
18,NR_029356.1,1,1550,1,1368,88.2581,0.882581,39,57,292800,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,0.88258064516129,0.322023217327524,0.364865487469051,0,PAD-1-MGE-L96
19,NR_036800.1,1,1481,324,1368,92.37,294.266,38.8,37,411470,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] gnavus,294.26603646185,85.3729860339166,0.290121779123445,1.5,PAD-1-MGE-L96
20,NR_040866.1,1,1425,11,1391,97.614,9.69263,39,0.727,820,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,9.69263157894737,2.60204282209554,0.268455764660161,0.05,PAD-1-MGE-L96
21,NR_040867.1,1,1529,1,1329,86.9196,0.869196,39.1,60,302911,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium animalis,0.86919555264879,0.337296681563606,0.388056152077317,0,PAD-1-MGE-L96
22,NR_041277.1,1,1490,8,1396,93.6913,7.24094,40.7,58.4,484018,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius,7.24093959731544,1.95422819733411,0.269885996295099,0.04,PAD-1-MGE-L96
23,NR_041313.1,1,1485,15,1397,94.0741,13.8,37.3,40.7,338188,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides finegoldii,13.8,3.55165957184606,0.257366635641019,0.07,PAD-1-MGE-L96
24,NR_041342.1,1,1488,769,1397,93.8844,708.106,38.3,48,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,708.105510752688,186.442713174238,0.263297927135261,3.55,PAD-1-MGE-L96
25,NR_041343.1,1,1492,41,1399,93.7668,37.9256,38.9,56.1,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,37.9256032171582,9.96044295439833,0.262631101669388,0.19,PAD-1-MGE-L96
26,NR_041351.1,1,1493,4,1400,93.7709,3.67515,37.2,30.2,357276,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola dorei,3.67515070328198,1.00516364262389,0.273502700644699,0.02,PAD-1-MGE-L96
27,NR_041590.1,1,1342,317,1210,90.1639,277.551,38.3,31.7,742816,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,277.550670640835,96.2492416635202,0.346780793003638,1.46,PAD-1-MGE-L96
28,NR_041626.1,1,1483,7,1363,91.9083,5.77411,39.1,10.6,762968,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,Paraprevotella clara,5.77410654079568,2.11659558008611,0.366566769271015,0.03,PAD-1-MGE-L96
29,NR_041668.1,1,1484,4,1380,92.9919,3.69137,41.1,13,742726,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella intestinihominis,3.69137466307278,1.03109104817207,0.279324409544972,0.02,PAD-1-MGE-L96
30,NR_042499.1,1,1368,6,1351,98.7573,5.79313,37.4,12.7,657309,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides xylanisolvens,5.79312865497076,0.743887753642679,0.128408636843304,0.03,PAD-1-MGE-L96
31,NR_042745.1,1,1493,39,1399,93.704,35.221,38.8,3.28,204516,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola massiliensis,35.2210314802411,9.44445663517636,0.268148212538144,0.18,PAD-1-MGE-L96
32,NR_044473.1,1,1399,27,1364,97.4982,25.8956,38.4,37.1,491921,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas rupellensis,25.8956397426733,4.35370719987944,0.168125106896084,0.12,PAD-1-MGE-L96
33,NR_044490.1,1,1482,12,1388,93.6572,11.1275,38.6,50.5,501571,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Butyricicoccus,Butyricicoccus pullicaecorum,11.1275303643725,2.94455823533949,0.264619204703967,0.06,PAD-1-MGE-L96
34,NR_044688.3,1,1456,13,1374,94.3681,12.0309,38.2,4,852,Bacteria,unclassified Bacteria kingdom,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium perfoetens,12.0309065934066,3.05027847337786,0.253536876019762,0.06,PAD-1-MGE-L96
35,NR_074277.1,1,1483,2,1394,93.9987,1.76939,41.5,1,818,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,1.76938637896156,0.545581034357417,0.308344769036604,0.01,PAD-1-MGE-L96
36,NR_074376.1,1,1497,19,1402,93.654,16.4716,39,5.16,435591,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,16.4716098864395,4.8683911339103,0.295562556876621,0.09,PAD-1-MGE-L96
