index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024815.1,1,1490,4,1466,98.3893,3.69396,31,9.5,228603,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella shahii,3.69395973154362,0.728599140528019,0.197240683028116,0.01,LAM-2-MGE-S17
1,NR_024898.1,1,1504,1,1428,94.9468,0.949468,32.1,7,85403,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia ruminalis,0.949468085106383,0.219112670227477,0.230774128867034,0,LAM-2-MGE-S17
2,NR_025230.1,1,1411,59,1411,100,55.151,32.5,1.73,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,55.1509567682495,6.86799785046677,0.124530892171588,0.19,LAM-2-MGE-S17
3,NR_025514.1,1,1518,1713,1517,99.9341,1619.63,32.2,37.8,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,1619.63109354414,274.901201659709,0.169730750882387,5.51,LAM-2-MGE-S17
4,NR_025518.1,1,1494,140,1464,97.992,130.208,33.4,36.4,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,130.208165997323,27.8132739030759,0.213606218089638,0.45,LAM-2-MGE-S17
5,NR_025567.1,1,1498,34,1495,99.7997,32.026,32.6,8.56,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,32.0260347129506,5.88193710714376,0.183661110713942,0.11,LAM-2-MGE-S17
6,NR_025569.1,1,1494,4,1464,97.992,3.85609,34.1,3.5,208962,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,3.85609103078983,0.608083288494835,0.157694225483646,0.01,LAM-2-MGE-S17
7,NR_025796.1,1,1435,5,1400,97.561,4.4899,28.4,1.2,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,4.48989547038328,1.15246491166043,0.256679675342653,0.02,LAM-2-MGE-S17
8,NR_025863.1,1,1411,4,1405,99.5748,3.83345,32.9,55.2,46125,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,3.8334514528703,0.55086076513996,0.14369838040534,0.01,LAM-2-MGE-S17
9,NR_025904.1,1,1536,1,1434,93.3594,0.933594,29.8,1,29391,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,unclassified Bacillales family,Gemella,Gemella morbillorum,0.93359375,0.249071974606141,0.266788391209925,0,LAM-2-MGE-S17
10,NR_025981.1,1,1477,11,1445,97.8334,10.0779,33.8,3.09,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,10.0778605280975,2.47179839175397,0.24527015281294,0.04,LAM-2-MGE-S17
11,NR_026075.1,1,1468,1,1266,86.2398,0.862398,30.2,33,13335,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,0.862397820163488,0.344599349148478,0.399582815600289,0,LAM-2-MGE-S17
12,NR_026100.1,1,1499,24,1469,97.9987,22.6578,33.4,2.04,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,22.6577718478986,4.29296292548096,0.189469774623012,0.08,LAM-2-MGE-S17
13,NR_026312.1,1,1482,2,1367,92.2402,1.72605,35,14,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,1.72604588394062,0.595262995956487,0.34487089914289,0.01,LAM-2-MGE-S17
14,NR_026331.1,1,1488,3786,1488,100,3669.94,35.6,12,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,3669.9375,452.353474504286,0.123259176622023,12.17,LAM-2-MGE-S17
