index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_025514.1,1,1518,9,1478,97.365,8.48221,18.7,24.9,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,8.48221343873518,1.52349643025614,0.179610716148557,0.39,GRO-46-DRS-S59
1,NR_025518.1,1,1494,1899,1464,97.992,1753.36,19.6,41.3,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,1753.3641231593,382.063617890889,0.217903179861161,82.89,GRO-46-DRS-S59
2,NR_026075.1,1,1468,13,1420,96.7302,10.218,17.6,6.23,13335,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,10.2179836512262,3.3897320024053,0.331741771968732,0.57,GRO-46-DRS-S59
3,NR_026100.1,1,1499,1,1438,95.9306,0.959306,24.9,9,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,0.959306204136091,0.197645821599974,0.206029962850043,0.04,GRO-46-DRS-S59
4,NR_026409.1,1,1495,1,1371,91.7057,0.917057,15.2,1,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,0.917056856187291,0.275888548893313,0.300841269580965,0.04,GRO-46-DRS-S59
5,NR_026476.1,1,1463,10,1427,97.5393,8.77717,17.5,8.1,83771,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,8.77717019822283,1.98788352426224,0.226483419982529,0.44,GRO-46-DRS-S59
6,NR_028862.1,1,1537,5,1493,97.1373,4.74821,20.6,59.8,209880,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,4.74821080026025,0.899782084331712,0.189499186574108,0.22,GRO-46-DRS-S59
7,NR_029097.1,1,1374,7,1321,96.1426,6.45124,21.2,1,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,6.45123726346434,1.47970807160342,0.22936810586452,0.31,GRO-46-DRS-S59
8,NR_041277.1,1,1490,30,1459,97.9195,28.2027,20.3,58.2,484018,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius,28.2026845637584,4.8338956880552,0.171398424044602,1.31,GRO-46-DRS-S59
9,NR_041313.1,1,1485,1,1385,93.266,0.93266,16.1,32,338188,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides finegoldii,0.932659932659933,0.250694444208758,0.268795126101088,0.04,GRO-46-DRS-S59
