index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024841.1,1,1460,5,1446,99.0411,4.79726,19,1.6,888807,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sanguinis,4.7972602739726,0.645535647481922,0.134563398818333,0.03,IVY-24-DRS-S92
1,NR_024842.1,1,1513,1,1427,94.3159,0.943159,18.4,1,760570,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus parasanguinis,0.943159286186385,0.231614557648767,0.245573108425077,0.01,IVY-24-DRS-S92
2,NR_025127.1,1,1453,1,1354,93.1865,0.931865,19.8,1,140626,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lachnobacterium,Lachnobacterium bovis,0.931865106675843,0.252063994400932,0.270494079663629,0.01,IVY-24-DRS-S92
3,NR_025230.1,1,1411,33,1410,99.9291,31.1758,18.9,1.12,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,31.1757618710135,3.8252994186789,0.122701072535314,0.21,IVY-24-DRS-S92
4,NR_025514.1,1,1518,425,1508,99.3412,397.301,18.7,39.6,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,397.301054018445,67.9113260015134,0.170931653250435,2.73,IVY-24-DRS-S92
5,NR_025567.1,1,1498,53,1457,97.263,49.5087,19.5,7.72,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,49.5086782376502,9.11678798160167,0.184145251017196,0.34,IVY-24-DRS-S92
6,NR_025796.1,1,1435,2,1392,97.0035,1.81045,16.2,1,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,1.81045296167247,0.462275016389037,0.255336662247216,0.01,IVY-24-DRS-S92
7,NR_025863.1,1,1411,56,1411,100,53.0276,18.8,53.8,46125,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,53.0276399716513,7.37467018332622,0.139072193053825,0.36,IVY-24-DRS-S92
8,NR_025903.1,1,1537,28,1478,96.1614,25.9011,19.4,4.07,1379,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,unclassified Bacillales family,Gemella,Gemella haemolysans,25.9011060507482,5.45142900558547,0.210470896297033,0.18,IVY-24-DRS-S92
9,NR_025904.1,1,1536,22,1496,97.3958,20.4264,19,2.05,29391,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,unclassified Bacillales family,Gemella,Gemella morbillorum,20.4264322916667,4.20436308576889,0.205829536246726,0.14,IVY-24-DRS-S92
10,NR_025981.1,1,1477,61,1462,98.9844,54.4408,18.8,6.1,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,54.4407582938389,13.1467139739742,0.241486606468927,0.39,IVY-24-DRS-S92
11,NR_026100.1,1,1499,230,1469,97.9987,214.085,19.4,2.25,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,214.084723148766,41.0327642715561,0.191666008055338,1.48,IVY-24-DRS-S92
12,NR_026106.1,1,1489,1,1358,91.2021,0.912021,16.2,1,29322,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,[Eubacterium] cellulosolvens,0.912021490933513,0.283358808918291,0.31069312700982,0.01,IVY-24-DRS-S92
13,NR_026312.1,1,1482,7,1370,92.4426,5.88192,18.5,5.71,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,5.88191632928475,2.00982316831017,0.341695300612099,0.04,IVY-24-DRS-S92
14,NR_026331.1,1,1488,1,1414,95.0269,0.950269,17.6,0,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,0.950268817204301,0.217462118574418,0.228842738641255,0.01,IVY-24-DRS-S92
15,NR_026409.1,1,1495,71,1474,98.5953,65.9806,18.7,2.42,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,65.980602006689,11.5579686014266,0.175172221075746,0.46,IVY-24-DRS-S92
16,NR_026454.1,1,1383,1,930,67.2451,0.672451,16.7,40,137733,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella balaenopterae,0.672451193058568,0.469489045825531,0.698175645566354,0.01,IVY-24-DRS-S92
17,NR_026493.1,1,1488,122,1482,99.5968,114.97,19,3.41,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,114.970430107527,18.3853377687777,0.159913620846532,0.78,IVY-24-DRS-S92
18,NR_026494.1,1,1499,5,1453,96.9313,4.56504,16.9,1,84030,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora saccharolytica,4.5650433622415,0.991421237187822,0.217176740398151,0.03,IVY-24-DRS-S92
20,NR_027521.1,1,1492,1,1278,85.6568,0.856568,18.3,1,74706,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus coagulans,0.85656836461126,0.350630006932916,0.409342699799618,0.01,IVY-24-DRS-S92
21,NR_028664.1,1,1520,2,1458,95.9211,1.79211,18.1,0.5,28037,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mitis,1.79210526315789,0.496402637095933,0.276994129363369,0.01,IVY-24-DRS-S92
22,NR_028682.1,1,1538,35,1490,96.8791,32.3511,19.4,39.9,137732,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella elegans,32.3511053315995,7.079913908411,0.218846120892679,0.22,IVY-24-DRS-S92
23,NR_028726.1,1,1502,1,1376,91.6112,0.916112,16.3,1,94868,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora algidixylanolytica,0.916111850865513,0.277312328228981,0.302705753633669,0.01,IVY-24-DRS-S92
24,NR_028736.1,1,1544,4,1478,95.7254,3.64249,18.7,60,1338,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus intermedius,3.64248704663212,0.920935606477097,0.252831539189303,0.03,IVY-24-DRS-S92
25,NR_028812.1,1,1408,1,1288,91.4773,0.914773,13.3,1,156456,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Anaeroglobus,Anaeroglobus geminatus,0.914772727272727,0.279318806974116,0.305342298307109,0.01,IVY-24-DRS-S92
