index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_025230.1,1,1411,2,1183,83.8412,1.65202,38.9,1,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,1.65201984408221,0.741926638687806,0.449102740106604,0.01,IRI-36-MGE-L134
1,NR_025452.1,1,1380,1,1345,97.4638,0.974638,39.3,56,158787,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium scardovii,0.97463768115942,0.157279995497653,0.16137278348458,0.01,IRI-36-MGE-L134
2,NR_025514.1,1,1518,93,1406,92.6219,82.6403,37.5,11.1,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,82.6403162055336,23.9432367167592,0.289728280530901,0.62,IRI-36-MGE-L134
3,NR_025518.1,1,1494,5,1351,90.4284,4.40094,38.4,28.6,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,4.40093708165997,1.47105101331716,0.334258587664765,0.03,IRI-36-MGE-L134
4,NR_025567.1,1,1498,5,1388,92.6569,4.31308,36.2,6.4,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,4.31308411214953,1.32902532615813,0.308138049618461,0.03,IRI-36-MGE-L134
5,NR_025863.1,1,1411,1,1360,96.3855,0.963855,40.6,60,46125,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,0.963855421686747,0.186715975958222,0.193717825056655,0.01,IRI-36-MGE-L134
6,NR_025904.1,1,1536,1,1383,90.0391,0.900391,40.5,3,29391,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,unclassified Bacillales family,Gemella,Gemella morbillorum,0.900390625,0.299575993116047,0.332717805803505,0.01,IRI-36-MGE-L134
7,NR_025981.1,1,1477,4,1341,90.7921,3.62085,40.2,1.25,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,3.62085308056872,1.16104269472279,0.320654461500666,0.03,IRI-36-MGE-L134
8,NR_026075.1,1,1468,1,1008,68.6649,0.686649,37,1,13335,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,0.686648501362398,0.464014014011261,0.67576644104021,0.01,IRI-36-MGE-L134
9,NR_026170.1,1,1435,1,817,56.9338,0.569338,35.9,1,33871,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Coriobacterium,Coriobacterium glomerans,0.569337979094077,0.495341528123837,0.870030713412125,0.01,IRI-36-MGE-L134
