index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024570.1,1,1450,3,1419,97.8621,2.79241,17.4,1,562,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,2.79241379310345,0.575864071097553,0.206224475942567,0.02,PAD-5-MGE-S82
1,NR_024841.1,1,1460,2,1441,98.6986,1.91233,19.9,6.5,888807,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sanguinis,1.91232876712329,0.325706994173154,0.17031955999026,0.01,PAD-5-MGE-S82
2,NR_024898.1,1,1504,1,1420,94.4149,0.944149,19.5,1,85403,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia ruminalis,0.944148936170213,0.229710267101643,0.243298761775261,0.01,PAD-5-MGE-S82
3,NR_025230.1,1,1411,10,1407,99.7165,9.33026,17.8,3.8,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,9.33026222537208,1.51261780573433,0.162119538464956,0.07,PAD-5-MGE-S82
4,NR_025514.1,1,1518,22,1486,97.892,20.5883,18.2,27.7,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,20.5882740447958,3.53899747804879,0.171893839685088,0.16,PAD-5-MGE-S82
5,NR_025525.1,1,1475,2,1444,97.8983,1.89627,18.1,56,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,1.89627118644068,0.367552220350822,0.19382893279137,0.01,PAD-5-MGE-S82
6,NR_025567.1,1,1498,6,1456,97.1963,5.6502,19.7,10,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,5.6502002670227,1.08758247099198,0.192485649993618,0.04,PAD-5-MGE-S82
7,NR_025569.1,1,1494,10,1464,97.992,9.30723,16.9,1.8,208962,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,9.30722891566265,1.54546674718404,0.166050148888382,0.07,PAD-5-MGE-S82
8,NR_025862.1,1,1406,5,1386,98.5775,4.81437,20.3,53,46124,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella adiacens,4.81436699857753,0.68358995150588,0.141989580708711,0.04,PAD-5-MGE-S82
9,NR_025863.1,1,1411,2,1378,97.6612,1.82991,19.3,30.5,46125,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,1.82990786676116,0.433669717791731,0.236989919366434,0.01,PAD-5-MGE-S82
