index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024841.1,1,1460,1,1444,98.9041,0.989041,44.7,1,888807,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sanguinis,0.989041095890411,0.104145261335801,0.105299225450325,0.01,CHA-55-MGE-S150
1,NR_025230.1,1,1411,2,1398,99.0787,1.96527,37.1,1,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,1.9652728561304,0.22800144635349,0.116015160766237,0.02,CHA-55-MGE-S150
2,NR_025514.1,1,1518,21,1507,99.2754,20.2622,36.9,40.3,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,20.262187088274,3.40398478529232,0.167996908253909,0.26,CHA-55-MGE-S150
3,NR_025518.1,1,1494,3,1454,97.3226,2.87617,39.3,53.7,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,2.87617135207497,0.542927306709634,0.188767371706817,0.04,CHA-55-MGE-S150
4,NR_025525.1,1,1475,27,1448,98.1695,26.0881,38.6,54.1,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,26.0881355932203,4.28183997567168,0.164129780772238,0.33,CHA-55-MGE-S150
5,NR_025567.1,1,1498,13,1452,96.9292,12.4626,38.8,12.3,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,12.4626168224299,2.30453744028269,0.184916015080801,0.16,CHA-55-MGE-S150
6,NR_025863.1,1,1411,1,1375,97.4486,0.974486,41.6,60,46125,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,0.974486180014174,0.15773553250022,0.161865335532953,0.01,CHA-55-MGE-S150
7,NR_025981.1,1,1477,2,1425,96.4794,1.86459,34.9,6.5,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,1.8645903859174,0.433144171645587,0.232299906143984,0.02,CHA-55-MGE-S150
8,NR_026100.1,1,1499,55,1447,96.531,52.519,39.2,2.35,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,52.5190126751167,10.1284213306273,0.192852470271707,0.67,CHA-55-MGE-S150
9,NR_026331.1,1,1488,3,1464,98.3871,2.9422,40.9,7.33,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,2.94220430107527,0.389013175571609,0.132218274383407,0.04,CHA-55-MGE-S150
10,NR_026409.1,1,1495,1,1460,97.6589,0.976589,38.4,1,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,0.976588628762542,0.151256676989132,0.154882693218323,0.01,CHA-55-MGE-S150
11,NR_026493.1,1,1488,12,1459,98.0511,11.5974,36.4,2.42,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,11.5974462365591,1.84501551300814,0.159088085029618,0.15,CHA-55-MGE-S150
12,NR_027549.1,1,1473,4,1457,98.9138,3.95248,42.8,2.5,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,3.95247793618466,0.419200727197239,0.106060232078587,0.05,CHA-55-MGE-S150
13,NR_027558.1,1,1365,2,1361,99.707,1.99048,40.7,60,169435,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Anaerotruncus,Anaerotruncus colihominis,1.99047619047619,0.123713883548066,0.0621529080026167,0.02,CHA-55-MGE-S150
14,NR_028682.1,1,1538,2,1469,95.5137,1.90052,39.8,49.5,137732,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella elegans,1.90052015604681,0.423588462242462,0.222880278798805,0.02,CHA-55-MGE-S150
15,NR_028686.1,1,1522,9,1464,96.1892,8.62549,39.9,60,67826,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter sedlakii,8.62549277266754,1.72892225865605,0.200443302686967,0.11,CHA-55-MGE-S150
16,NR_028862.1,1,1537,39,1534,99.8048,37.7131,37.7,59.9,209880,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,37.7130774235524,6.26219992335516,0.166048499649735,0.48,CHA-55-MGE-S150
17,NR_029097.1,1,1374,103,1323,96.2882,96.7016,38.6,1.74,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,96.7016011644833,20.7399122361001,0.214473307435963,1.26,CHA-55-MGE-S150
18,NR_029207.1,1,1426,3,1367,95.8626,2.80505,38.5,8.67,907,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,2.80504908835905,0.679423722046758,0.242214556909669,0.04,CHA-55-MGE-S150
19,NR_029356.1,1,1550,9,1454,93.8065,8.26194,39.3,47.3,292800,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,8.26193548387097,2.1800276284146,0.263864034362223,0.11,CHA-55-MGE-S150
20,NR_036800.1,1,1481,22,1451,97.9743,21.343,38.8,57.9,411470,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] gnavus,21.3430114787306,3.15925818448247,0.14802307479574,0.27,CHA-55-MGE-S150
21,NR_037088.1,1,1453,2,1437,98.8988,1.94838,32.6,1.5,76122,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Alloprevotella tannerae,1.94838265657261,0.266505675287988,0.136783025854273,0.02,CHA-55-MGE-S150
22,NR_040866.1,1,1425,8,1425,100,7.86667,38.9,15.8,820,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,7.86666666666667,0.796175314290855,0.101208726392905,0.1,CHA-55-MGE-S150
23,NR_040877.1,1,1494,2,1451,97.1218,1.83735,30.2,1,537011,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri,1.83734939759036,0.440328002640321,0.23965392930588,0.02,CHA-55-MGE-S150
24,NR_041313.1,1,1485,1,1442,97.1044,0.971044,38.9,51,338188,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides finegoldii,0.971043771043771,0.167740016222646,0.172741972323598,0.01,CHA-55-MGE-S150
25,NR_041342.1,1,1488,66,1452,97.5806,63.7036,38.5,51.6,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,63.7036290322581,10.6973496143439,0.167923708222761,0.81,CHA-55-MGE-S150
26,NR_041343.1,1,1492,49,1473,98.7265,47.4001,38.9,57.1,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,47.4001340482574,7.69271171499189,0.162293037128546,0.6,CHA-55-MGE-S150
27,NR_041351.1,1,1493,95,1475,98.7944,91.8272,37.8,39.8,357276,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola dorei,91.8271935699933,15.0413508663759,0.163800615935311,1.17,CHA-55-MGE-S150
28,NR_041446.1,1,1456,2,1434,98.489,1.94574,37.6,4,376804,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola barnesiae,1.94574175824176,0.28563981224179,0.146802529694333,0.02,CHA-55-MGE-S150
29,NR_041590.1,1,1342,294,1310,97.6155,279.079,38.6,32.3,742816,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,279.078986587183,58.1734762487839,0.208448070419701,3.61,CHA-55-MGE-S150
30,NR_041668.1,1,1484,18,1454,97.9784,17.4784,37,0,742726,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella intestinihominis,17.4784366576819,2.57252325723194,0.147182686164399,0.22,CHA-55-MGE-S150
31,NR_042745.1,1,1493,2,1452,97.2539,1.93101,36.6,0,204516,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola massiliensis,1.93101138647019,0.345299897635749,0.178818157187018,0.02,CHA-55-MGE-S150
33,NR_042927.1,1,1471,5,1468,99.7961,4.9327,40.8,0.8,655813,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus oralis,4.93269884432359,0.321917285176273,0.0652618972566563,0.06,CHA-55-MGE-S150
34,NR_043224.1,1,1455,10,1442,99.1065,9.70309,35.7,0,305719,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella baroniae,9.70309278350515,1.39406683486788,0.143672421358037,0.12,CHA-55-MGE-S150
35,NR_043657.1,1,1553,93,1511,97.2956,85.8764,37.6,14.1,349095,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera paucivorans,85.8763683193818,19.3107767091766,0.224867179261215,1.14,CHA-55-MGE-S150
36,NR_044473.1,1,1399,6,1397,99.857,5.89278,33.1,27.5,491921,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas rupellensis,5.8927805575411,0.410795908823502,0.0697117268855021,0.07,CHA-55-MGE-S150
37,NR_044490.1,1,1482,7,1446,97.5709,6.79757,38.2,51.9,501571,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Butyricicoccus,Butyricicoccus pullicaecorum,6.79757085020243,1.10222635634505,0.162150035745818,0.09,CHA-55-MGE-S150
38,NR_044688.3,1,1456,3,1426,97.9396,2.90797,37.2,1,852,Bacteria,unclassified Bacteria kingdom,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium perfoetens,2.90796703296703,0.456843783159404,0.157100743571113,0.04,CHA-55-MGE-S150
39,NR_074515.1,1,1510,220,1492,98.8079,208.577,38.1,27.3,435590,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,208.576821192053,42.40419434802,0.203302524727689,2.7,CHA-55-MGE-S150
40,NR_074902.1,1,1542,4,1505,97.6005,3.81582,38.3,0.5,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,3.81582360570687,0.739053318733096,0.193681206234948,0.05,CHA-55-MGE-S150
41,NR_074980.1,1,1551,1,1480,95.4223,0.954223,34.9,0,479436,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella parvula,0.954223081882656,0.209068346308506,0.219097976435468,0.01,CHA-55-MGE-S150
42,NR_102861.1,1,1512,1,1441,95.3042,0.953042,41.5,0,717959,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii,0.953042328042328,0.211618210235742,0.222044922884415,0.01,CHA-55-MGE-S150
43,NR_102980.1,1,1552,1852,1527,98.3892,1744.04,39,1.94,1064535,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,1744.03930412371,391.860167794703,0.224685399502274,22.71,CHA-55-MGE-S150
44,NR_104735.1,1,1511,1,1345,89.0139,0.890139,33.7,1,45851,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio crossotus,0.890138980807412,0.312819977442997,0.351428242317003,0.01,CHA-55-MGE-S150
45,NR_112143.1,1,1397,5,1389,99.4273,4.92985,37.4,3.2,821,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,4.92984967788117,0.45979102362921,0.0932667431407007,0.06,CHA-55-MGE-S150
46,NR_112899.1,1,1491,26,1439,96.5124,24.6157,35.9,0,742742,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella tanakaei,24.6156941649899,5.15978205385799,0.209613509953198,0.32,CHA-55-MGE-S150
47,NR_112901.1,1,1469,39,1439,97.9578,37.8148,38.4,0.179,762983,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinatimonas,Succinatimonas hippei,37.8148400272294,6.02626158326167,0.159362345019107,0.48,CHA-55-MGE-S150
48,NR_112935.1,1,1488,1,1437,96.5726,0.965726,37.4,60,28111,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides eggerthii,0.965725806451613,0.181993770315857,0.188452839408487,0.01,CHA-55-MGE-S150
49,NR_112938.1,1,1478,1,1441,97.4966,0.974966,38.9,0,204516,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola massiliensis,0.974966170500677,0.156280714372731,0.160293473867381,0.01,CHA-55-MGE-S150
50,NR_112940.1,1,1459,2,1451,99.4517,1.97395,37.7,4.5,28116,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,1.97395476353667,0.190678308758487,0.0965971015550807,0.02,CHA-55-MGE-S150
51,NR_112943.1,1,1476,20,1457,98.7127,19.5373,37.3,59.7,449673,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,19.5372628726287,2.6480501994839,0.135538443473254,0.25,CHA-55-MGE-S150
52,NR_112945.1,1,1477,23,1449,98.1043,22.4658,38.8,40.9,820,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,22.4658090724441,3.14913023632952,0.140174352331345,0.28,CHA-55-MGE-S150
