index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_025230.1,1,1411,2,1340,94.9681,1.75337,41.8,1,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,1.75336640680369,0.535393743600259,0.305351888528684,0.01,GRO-41-MGE-L190
1,NR_025514.1,1,1518,55,1406,92.6219,49.8136,39.2,20.3,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,49.8135704874835,14.4047857088207,0.289173925254769,0.21,GRO-41-MGE-L190
2,NR_025518.1,1,1494,13670,1494,100,12207.6,39.1,27.8,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,12207.5870147256,3967.5603287093,0.325007745095191,51.91,GRO-41-MGE-L190
3,NR_026075.1,1,1468,246,1337,91.0763,194.968,39.2,4.75,13335,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,194.967983651226,84.4446854735396,0.433120781638696,0.93,GRO-41-MGE-L190
4,NR_026312.1,1,1482,2,1281,86.4372,1.58435,42.2,8,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,1.58434547908232,0.717278229713928,0.452728422672931,0.01,GRO-41-MGE-L190
5,NR_026314.1,1,1458,7,1338,91.7695,5.64746,39.3,11,53443,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,5.64746227709191,2.48216640084269,0.439518898764713,0.03,GRO-41-MGE-L190
6,NR_026331.1,1,1488,2,1389,93.3468,1.78091,42.5,14,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,1.78091397849462,0.551685049101676,0.309776359646526,0.01,GRO-41-MGE-L190
7,NR_026476.1,1,1463,255,1354,92.5496,229.439,37.1,2.12,83771,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,229.438824333561,67.23028535309,0.293020527577973,0.97,GRO-41-MGE-L190
8,NR_026493.1,1,1488,1,1364,91.6667,0.916667,41.3,1,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,0.916666666666667,0.276478317470617,0.301612709967945,0,GRO-41-MGE-L190
9,NR_028664.1,1,1520,1,1383,90.9868,0.909868,39.5,1,28037,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mitis,0.909868421052632,0.286464422735575,0.314841592594413,0,GRO-41-MGE-L190
10,NR_028862.1,1,1537,8,1431,93.1034,7.1542,37.7,56.8,209880,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,7.15419648666233,2.01660674293197,0.281877461248312,0.03,GRO-41-MGE-L190
11,NR_029097.1,1,1374,65,1282,93.3042,58.0888,38.3,1.52,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,58.0887918486172,16.4676107844651,0.283490330240998,0.25,GRO-41-MGE-L190
12,NR_029137.1,1,1514,15,1387,91.6116,13.4941,39,14.8,78257,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pullorum,13.4940554821664,4.26783776556917,0.316275397800868,0.06,GRO-41-MGE-L190
13,NR_029207.1,1,1426,1,1384,97.0547,0.970547,40.9,1,907,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,0.97054698457223,0.169131887397854,0.174264502477847,0,GRO-41-MGE-L190
14,NR_036856.1,1,1517,5,1380,90.969,4.45221,37.7,11.8,78448,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pullorum,4.45220830586684,1.45599142073917,0.32702679675175,0.02,GRO-41-MGE-L190
15,NR_040866.1,1,1425,4,1391,97.614,3.31228,38.8,0.5,820,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,3.31228070175439,0.95474682203446,0.288244538432014,0.02,GRO-41-MGE-L190
16,NR_040877.1,1,1494,15,1401,93.7751,12.1928,38.6,0.933,537011,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri,12.1927710843374,4.82475767502506,0.39570641010581,0.06,GRO-41-MGE-L190
17,NR_041277.1,1,1490,3417,1486,99.7315,3128.91,38.6,56.5,484018,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius,3128.91409395973,823.718647564334,0.263260231130825,12.98,GRO-41-MGE-L190
18,NR_041313.1,1,1485,17,1397,94.0741,15.6444,38.3,54,338188,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides finegoldii,15.6444444444444,4.00238024418565,0.255833964472094,0.06,GRO-41-MGE-L190
19,NR_041342.1,1,1488,282,1396,93.8172,257.325,38.6,9.45,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,257.324596774194,67.9566509032728,0.264089215547886,1.07,GRO-41-MGE-L190
20,NR_041343.1,1,1492,155,1399,93.7668,141.792,38.7,50.6,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,141.791554959786,37.5649687473618,0.264930931591912,0.59,GRO-41-MGE-L190
21,NR_041351.1,1,1493,257,1402,93.9049,234.415,38.2,45.3,357276,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola dorei,234.415271265908,61.6334867058664,0.262924366544161,0.98,GRO-41-MGE-L190
22,NR_041446.1,1,1456,8,1373,94.2995,7.2342,38.2,8.75,376804,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola barnesiae,7.2342032967033,1.93948600478729,0.268099461024427,0.03,GRO-41-MGE-L190
23,NR_041461.1,1,1492,5,1399,93.7668,4.58244,38.3,10,387090,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola coprophilus,4.58243967828418,1.24493875945881,0.271675973250336,0.02,GRO-41-MGE-L190
24,NR_041464.1,1,1492,3,1395,93.4987,2.64276,40.7,1,387661,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides johnsonii,2.64276139410188,0.794258328964604,0.300541066907225,0.01,GRO-41-MGE-L190
25,NR_041590.1,1,1342,54,1204,89.7168,47.0909,38.1,7.72,742816,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,47.0909090909091,16.4064907103247,0.348400381879482,0.21,GRO-41-MGE-L190
