index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024946.1,1,1458,3,1450,99.4513,2.85254,36.8,12.3,296,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fragi,2.85253772290809,0.400150632606078,0.140278822394725,0.04,WOL-18-MGE-S158
1,NR_025230.1,1,1411,2,1402,99.3622,1.9511,38.1,8.5,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,1.95109851169383,0.243534548071041,0.124819196268885,0.03,WOL-18-MGE-S158
2,NR_025514.1,1,1518,70,1506,99.2095,65.3399,35.5,21.5,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,65.3399209486166,11.3031167725648,0.172989446703701,1.03,WOL-18-MGE-S158
3,NR_025518.1,1,1494,4,1454,97.3226,3.83735,38.4,55,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,3.83734939759036,0.704723278034095,0.183648452360533,0.06,WOL-18-MGE-S158
4,NR_025525.1,1,1475,10,1443,97.8305,9.63661,37.7,55.8,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,9.63661016949153,1.60249615558409,0.166292516496871,0.15,WOL-18-MGE-S158
5,NR_025567.1,1,1498,27,1474,98.3979,25.8485,38.8,12.7,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,25.8484646194927,4.64868672016025,0.179843823940499,0.4,WOL-18-MGE-S158
6,NR_025904.1,1,1536,1,1467,95.5078,0.955078,43.4,11,29391,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,unclassified Bacillales family,Gemella,Gemella morbillorum,0.955078125,0.207200025506834,0.216945629978525,0.01,WOL-18-MGE-S158
7,NR_025981.1,1,1477,1,1413,95.6669,0.956669,35.9,1,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,0.956668923493568,0.203670271120933,0.21289525155387,0.01,WOL-18-MGE-S158
8,NR_026100.1,1,1499,15,1446,96.4643,14.4209,39.6,1.8,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,14.4209472981988,2.7716115548008,0.192193445928963,0.22,WOL-18-MGE-S158
9,NR_026312.1,1,1482,1,1089,73.4818,0.734818,43.8,23,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,0.734817813765182,0.441579175234928,0.600936949217781,0.01,WOL-18-MGE-S158
