index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_025206.1,1,1449,1,1290,89.0269,0.890269,14.3,1,180286,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Hespellia,Hespellia porcina,0.890269151138716,0.312661886279643,0.351199281565274,0.01,HAM-41-DRS-S63
1,NR_025230.1,1,1411,2,1367,96.8816,1.85471,17.8,1,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,1.85471296952516,0.432062642188531,0.232953912162024,0.02,HAM-41-DRS-S63
2,NR_025514.1,1,1518,473,1508,99.3412,445.377,19.7,35.3,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,445.376811594203,75.7308075800236,0.170037607725802,5.9,HAM-41-DRS-S63
3,NR_025525.1,1,1475,2,1429,96.8814,1.83729,17,49.5,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,1.83728813559322,0.445807511003663,0.242644309494614,0.02,HAM-41-DRS-S63
4,NR_025567.1,1,1498,36,1478,98.6649,33.8879,19.7,7.11,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,33.8878504672897,6.09516814658464,0.179862932069652,0.45,HAM-41-DRS-S63
5,NR_025796.1,1,1435,3,1343,93.5889,2.70453,19.1,3,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,2.70452961672474,0.781908653171625,0.289110774877939,0.04,HAM-41-DRS-S63
6,NR_025981.1,1,1477,8,1453,98.3751,7.11645,18.1,1,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,7.11645226811104,1.54164638744845,0.216631311412935,0.1,HAM-41-DRS-S63
7,NR_026100.1,1,1499,34,1455,97.0647,31.8039,20.8,2.26,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,31.8038692461641,6.22392223464368,0.195697013670573,0.42,HAM-41-DRS-S63
8,NR_026106.1,1,1489,2,1416,95.0974,1.75218,17.4,1,29322,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,[Eubacterium] cellulosolvens,1.75218267293486,0.533523617545785,0.304490864900603,0.02,HAM-41-DRS-S63
9,NR_026312.1,1,1482,1,1235,83.3333,0.833333,19.7,26,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,0.833333333333333,0.372803794733295,0.447364553679954,0.01,HAM-41-DRS-S63
10,NR_026314.1,1,1458,3,1452,99.5885,2.82236,17.3,18.7,53443,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,2.82235939643347,0.445361269127233,0.157797504346903,0.04,HAM-41-DRS-S63
11,NR_026330.1,1,1474,1,1404,95.251,0.95251,18.9,2,53442,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium callanderi,0.952510176390773,0.212756314564823,0.223363823125747,0.01,HAM-41-DRS-S63
12,NR_026331.1,1,1488,6,1463,98.3199,5.76815,20.2,2.83,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,5.76814516129032,0.851838504070809,0.147679796581308,0.07,HAM-41-DRS-S63
13,NR_026409.1,1,1495,15,1455,97.3244,14.0796,20.1,1.53,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,14.0795986622074,2.52981257132798,0.179679309902386,0.19,HAM-41-DRS-S63
14,NR_026493.1,1,1488,16,1458,97.9839,15.244,20.4,6.12,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,15.2439516129032,2.50305066921691,0.164199594224519,0.2,HAM-41-DRS-S63
15,NR_028862.1,1,1537,22,1513,98.4385,20.5127,19.3,59.2,209880,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,20.5126870527001,3.59633083076598,0.175322268678232,0.27,HAM-41-DRS-S63
16,NR_029097.1,1,1374,623,1323,96.2882,572.542,20,1.78,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,572.542212518195,125.905266910253,0.219905649151157,7.77,HAM-41-DRS-S63
17,NR_029207.1,1,1426,2,1392,97.6157,1.86325,17.1,1,907,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,1.8632538569425,0.407245347924524,0.218566754286929,0.02,HAM-41-DRS-S63
18,NR_029356.1,1,1550,87,1461,94.2581,78.9639,20.3,38.9,292800,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,78.9638709677419,20.5075995105493,0.25970863965024,1.09,HAM-41-DRS-S63
19,NR_036800.1,1,1481,57,1454,98.1769,53.9237,19.8,48.8,411470,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] gnavus,53.9237002025658,8.22859131005415,0.152596933799855,0.71,HAM-41-DRS-S63
20,NR_036928.1,1,1431,4,1420,99.2313,3.55136,21.1,4,154046,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Hungatella,Hungatella hathewayi,3.55136268343816,0.688555213222187,0.1938847914445,0.05,HAM-41-DRS-S63
21,NR_037068.1,1,1441,3,1427,99.0285,2.69188,19.1,0.667,29375,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora xylanolytica,2.69188063844552,0.569597203848311,0.211598239429084,0.04,HAM-41-DRS-S63
22,NR_037088.1,1,1453,4,1445,99.4494,3.79491,18.7,2,76122,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Alloprevotella tannerae,3.79490708878183,0.554770391822195,0.146188135530948,0.05,HAM-41-DRS-S63
23,NR_041277.1,1,1490,476,1489,99.9329,449.442,19.8,57.3,484018,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius,449.442281879195,75.1544884653962,0.167217218974509,5.94,HAM-41-DRS-S63
24,NR_041313.1,1,1485,2,1466,98.7205,1.92054,19.1,36,338188,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides finegoldii,1.92053872053872,0.314329356067745,0.163667283927279,0.02,HAM-41-DRS-S63
25,NR_041342.1,1,1488,16,1450,97.4462,15.2171,20.1,31.1,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,15.2170698924731,2.61685684764825,0.171968510767151,0.2,HAM-41-DRS-S63
26,NR_041343.1,1,1492,23,1489,99.7989,21.9189,21,53.3,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,21.9189008042895,3.54384125821023,0.161679697802943,0.29,HAM-41-DRS-S63
27,NR_041351.1,1,1493,11,1455,97.4548,10.292,19.4,20.6,357276,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola dorei,10.292029470864,1.94954369286532,0.18942266910373,0.14,HAM-41-DRS-S63
28,NR_041446.1,1,1456,7,1446,99.3132,6.58585,19.8,3.86,376804,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola barnesiae,6.58585164835165,0.970091767351518,0.147299365237648,0.09,HAM-41-DRS-S63
29,NR_041508.1,1,1461,2,1432,98.0151,1.86311,19.5,1,397865,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella viscericola,1.86310746064339,0.397441726691516,0.213321955435821,0.02,HAM-41-DRS-S63
30,NR_041590.1,1,1342,744,1312,97.7645,691.276,20.6,9.64,742816,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,691.275707898659,150.055888141896,0.217070969552853,9.28,HAM-41-DRS-S63
31,NR_042152.1,1,1456,8,1447,99.3819,6.64698,17.9,0.375,168384,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Marvinbryantia,Marvinbryantia formatexigens,6.64697802197802,2.0937719302103,0.314996066375925,0.1,HAM-41-DRS-S63
33,NR_042745.1,1,1493,7,1453,97.3208,6.70328,21.1,0,204516,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola massiliensis,6.7032819825854,1.17261934926085,0.174932123146128,0.09,HAM-41-DRS-S63
