index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_025230.1,1,1411,6,1401,99.2913,5.81715,37.3,1,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,5.81715095676825,0.7583225921675,0.130359792586299,0.09,JOA-60-MGE-S154
1,NR_025514.1,1,1518,342,1508,99.3412,328.265,37.1,32.1,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,328.264822134387,55.6704657109431,0.169590105174755,4.91,JOA-60-MGE-S154
2,NR_025518.1,1,1494,102,1464,97.992,95.7316,38.7,42.5,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,95.731593038822,20.5580120932147,0.214746369935344,1.46,JOA-60-MGE-S154
3,NR_025567.1,1,1498,7,1454,97.0628,6.63752,38.8,14.4,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,6.63751668891856,1.24225632470694,0.187156791150659,0.1,JOA-60-MGE-S154
4,NR_025796.1,1,1435,5,1347,93.8676,4.65714,37.2,1,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,4.65714285714286,1.22597249864902,0.263245628544267,0.07,JOA-60-MGE-S154
5,NR_025981.1,1,1477,2,1425,96.4794,1.89912,38.1,1,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,1.89911983750846,0.40152896788651,0.211428978812255,0.03,JOA-60-MGE-S154
6,NR_026100.1,1,1499,25,1449,96.6644,23.9246,38,1.32,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,23.9246164109406,4.57692605421643,0.191306141574058,0.36,JOA-60-MGE-S154
7,NR_026331.1,1,1488,87,1488,100,85.1929,39.5,6.13,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,85.192876344086,10.7389906869599,0.126055031216297,1.25,JOA-60-MGE-S154
8,NR_026332.1,1,1487,237,1487,100,231.67,40.6,52.8,622,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,231.669804976463,29.4618953923536,0.127171926420653,3.4,JOA-60-MGE-S154
9,NR_026409.1,1,1495,3,1454,97.2575,2.89164,38.8,3.33,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,2.89163879598662,0.513828507943578,0.177694568442204,0.04,JOA-60-MGE-S154
