index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024815.1,1,1490,8,1450,97.3154,7.48658,18.8,5.38,228603,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella shahii,7.48657718120805,1.45960415427911,0.194962813973632,0.05,GOO-42-MGE-S76
1,NR_025230.1,1,1411,27,1411,100,25.0099,18.4,2.37,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,25.0099220411056,3.08023452770908,0.123160500966236,0.18,GOO-42-MGE-S76
2,NR_025514.1,1,1518,831,1510,99.473,776.625,18.6,35,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,776.625164690382,131.730637750005,0.169619326979344,5.6,GOO-42-MGE-S76
3,NR_025518.1,1,1494,1085,1465,98.0589,993.606,18.8,38.3,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,993.605756358768,216.522319394664,0.217915725637647,7.32,GOO-42-MGE-S76
4,NR_025567.1,1,1498,28,1493,99.6662,26.2557,19.3,6.82,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,26.2556742323097,4.62263872229531,0.176062464874993,0.19,GOO-42-MGE-S76
5,NR_025796.1,1,1435,6,1395,97.2125,5.31986,17.5,2.33,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,5.3198606271777,1.42212639916641,0.267323995651533,0.04,GOO-42-MGE-S76
6,NR_025981.1,1,1477,6,1419,96.0731,5.32363,16.7,11.7,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,5.32362897765741,1.37123600325119,0.257575426275214,0.04,GOO-42-MGE-S76
7,NR_026075.1,1,1468,34,1425,97.0708,27.6151,17,12.1,13335,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,27.6151226158038,8.19403178978478,0.296722629255878,0.23,GOO-42-MGE-S76
8,NR_026100.1,1,1499,11,1449,96.6644,10.1494,17.8,2.82,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,10.1494329553035,2.0860217306848,0.205530864617885,0.07,GOO-42-MGE-S76
9,NR_026106.1,1,1489,1,1322,88.7844,0.887844,17.2,1,29322,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,[Eubacterium] cellulosolvens,0.887844190732035,0.315664067743141,0.355539937117653,0.01,GOO-42-MGE-S76
10,NR_026314.1,1,1458,2,1451,99.5199,1.91701,18.4,1,53443,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,1.91700960219479,0.292854929131336,0.152766542638099,0.01,GOO-42-MGE-S76
11,NR_026331.1,1,1488,102,1488,100,97.0887,19.5,6.99,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,97.0887096774194,12.6865445700883,0.130669617633603,0.69,GOO-42-MGE-S76
12,NR_026409.1,1,1495,5,1454,97.2575,4.6214,19.5,1,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,4.62140468227425,0.916060423905432,0.198221209109657,0.03,GOO-42-MGE-S76
13,NR_026476.1,1,1463,720,1457,99.5899,673.855,18.9,13.7,83771,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,673.855092276145,113.621721251073,0.168614472983029,4.86,GOO-42-MGE-S76
14,NR_026493.1,1,1488,5,1452,97.5806,4.75538,19.7,2.2,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,4.75537634408602,0.832654415359999,0.175097480222679,0.03,GOO-42-MGE-S76
15,NR_026494.1,1,1499,2,1422,94.8632,1.68712,19.7,0,84030,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora saccharolytica,1.68712474983322,0.563854219240453,0.334210152092305,0.01,GOO-42-MGE-S76
