index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024841.1,1,1460,1,1392,95.3425,0.953425,36.9,14,888807,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sanguinis,0.953424657534247,0.210799705668088,0.22109739243923,0.01,HER-44-DRS-L137
1,NR_025230.1,1,1411,2,1323,93.7633,1.82495,38.3,7.5,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,1.82494684620836,0.518974623939589,0.284377939564567,0.02,HER-44-DRS-L137
2,NR_025514.1,1,1518,105,1406,92.6219,95.2701,38,25.4,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,95.270092226614,27.4659645817652,0.288295769845938,0.94,HER-44-DRS-L137
3,NR_025518.1,1,1494,1,1339,89.6252,0.896252,40.9,47,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,0.896251673360107,0.305035885990496,0.340346238737716,0.01,HER-44-DRS-L137
4,NR_025567.1,1,1498,9,1391,92.8571,8.10013,39.6,11.7,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,8.10013351134847,2.35139208520013,0.290290534335734,0.08,HER-44-DRS-L137
5,NR_026100.1,1,1499,2,1364,90.994,1.73449,37.6,1,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,1.73448965977318,0.612686790454482,0.353237499573565,0.02,HER-44-DRS-L137
6,NR_026312.1,1,1482,1,1139,76.8556,0.768556,43.5,29,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,0.768556005398111,0.421897829370793,0.548948712140048,0.01,HER-44-DRS-L137
7,NR_026314.1,1,1458,2,1147,78.6694,1.5583,39.3,4.5,53443,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,1.55829903978052,0.820777115407612,0.526713483390976,0.02,HER-44-DRS-L137
8,NR_026331.1,1,1488,1,1387,93.2124,0.932124,40.9,1,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,0.932123655913979,0.251618151533451,0.26994074223632,0.01,HER-44-DRS-L137
9,NR_026409.1,1,1495,4,1384,92.5753,3.6602,38.2,1,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,3.66020066889632,1.06085955014795,0.289836445078799,0.04,HER-44-DRS-L137
10,NR_026493.1,1,1488,3,1381,92.8091,2.75672,36.8,1,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,2.75672043010753,0.788251320998854,0.285938070610993,0.03,HER-44-DRS-L137
11,NR_026494.1,1,1499,1,1364,90.994,0.90994,41.3,1,84030,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora saccharolytica,0.909939959973316,0.286363291951969,0.314705699879766,0.01,HER-44-DRS-L137
