index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
1,NR_025207.1,1,1469,1,1285,87.4745,0.874745,15.7,1,180311,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Hespellia,Hespellia stercorisuis,0.874744724302247,0.331120866322523,0.378534282200612,0.01,JAR-49-DRS-S70
2,NR_025230.1,1,1411,29,1410,99.9291,26.8753,18.3,2.69,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,26.8752657689582,3.3529966247354,0.124761431330968,0.17,JAR-49-DRS-S70
3,NR_025514.1,1,1518,730,1509,99.4071,681.56,18.8,35.4,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,681.559947299078,115.632353445504,0.169658375471942,4.28,JAR-49-DRS-S70
4,NR_025518.1,1,1494,496,1463,97.925,456.177,18.8,38.8,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,456.177376171352,99.7616852041504,0.218690558574911,2.91,JAR-49-DRS-S70
5,NR_025525.1,1,1475,1,1273,86.3051,0.863051,15.6,1,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,0.863050847457627,0.343910261703219,0.398482039286919,0.01,JAR-49-DRS-S70
6,NR_025567.1,1,1498,48,1467,97.9306,44.8004,19.2,7.81,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,44.8004005340454,8.20224156597041,0.183084112378353,0.28,JAR-49-DRS-S70
7,NR_025796.1,1,1435,18,1421,99.0244,15.899,18.5,2.28,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,15.8989547038328,4.06041787600653,0.255388983215839,0.11,JAR-49-DRS-S70
8,NR_025981.1,1,1477,24,1457,98.6459,21.5653,18.3,5.38,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,21.5653351387949,4.89046311831402,0.226774269300195,0.14,JAR-49-DRS-S70
9,NR_026075.1,1,1468,2,1285,87.5341,1.6158,14.6,4,13335,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,1.6158038147139,0.697308757586901,0.431555335639785,0.01,JAR-49-DRS-S70
10,NR_026100.1,1,1499,23,1453,96.9313,21.6358,19.3,1.74,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,21.6357571714476,4.22364785606269,0.195216087081832,0.13,JAR-49-DRS-S70
11,NR_026106.1,1,1489,1,1207,81.0611,0.810611,15.3,9,29322,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,[Eubacterium] cellulosolvens,0.81061114842176,0.391948832118792,0.483522627195428,0.01,JAR-49-DRS-S70
12,NR_026312.1,1,1482,4,1367,92.2402,3.24089,18.5,12.8,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,3.24089068825911,1.1978491934593,0.369604935395937,0.02,JAR-49-DRS-S70
13,NR_026314.1,1,1458,1,1187,81.4129,0.814129,13.6,9,53443,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,0.814128943758573,0.389136050755579,0.477978401012328,0.01,JAR-49-DRS-S70
14,NR_026331.1,1,1488,409,1483,99.664,388.239,19,9.1,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,388.238575268817,50.9502988817494,0.131234509209888,2.4,JAR-49-DRS-S70
15,NR_026332.1,1,1487,3,1462,98.3188,2.7236,18.2,0.667,622,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,2.7236045729657,0.580875956792509,0.213274703148262,0.02,JAR-49-DRS-S70
16,NR_026409.1,1,1495,14,1454,97.2575,13.1826,18.3,1,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,13.1826086956522,2.38905747101037,0.181227974384032,0.08,JAR-49-DRS-S70
17,NR_026476.1,1,1463,4,1425,97.4026,3.27341,17.9,1.75,83771,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,3.27341079972659,1.00771160623134,0.307847584029329,0.02,JAR-49-DRS-S70
18,NR_026493.1,1,1488,20,1455,97.7823,18.7937,18.7,2.15,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,18.7936827956989,3.15734651242392,0.168000415179217,0.12,JAR-49-DRS-S70
