index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024815.1,1,1490,6,1459,97.9195,5.7443,33.2,8,228603,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella shahii,5.74429530201342,1.03840830762402,0.180772097015983,0.03,IRI-59-MGE-S167
1,NR_025230.1,1,1411,49,1411,100,47.0943,36.6,3.16,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,47.0942593905032,5.92173922009614,0.125742272980522,0.25,IRI-59-MGE-S167
2,NR_025514.1,1,1518,94,1508,99.3412,87.7418,35,27.3,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,87.7417654808959,15.2201764760932,0.173465582697981,0.49,IRI-59-MGE-S167
3,NR_025525.1,1,1475,82,1472,99.7966,78.4685,37.7,54.7,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,78.4684745762712,12.5195988570419,0.159549410443463,0.42,IRI-59-MGE-S167
4,NR_025567.1,1,1498,100,1478,98.6649,94.9226,37.5,12.2,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,94.9225634178905,17.6737867205948,0.186191629094414,0.52,IRI-59-MGE-S167
5,NR_025796.1,1,1435,3,1344,93.6585,2.4878,35.2,4.67,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,2.48780487804878,0.804683200120633,0.323451090244568,0.02,IRI-59-MGE-S167
6,NR_025981.1,1,1477,6,1446,97.9012,5.62288,37.3,6.17,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,5.62288422477996,1.17186603133405,0.208410129835085,0.03,IRI-59-MGE-S167
7,NR_026100.1,1,1499,117,1469,97.9987,112.099,38.7,1.99,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,112.098732488326,21.0726600376547,0.187983035756888,0.61,IRI-59-MGE-S167
8,NR_026312.1,1,1482,1,1358,91.6329,0.916329,35,1,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,0.916329284750337,0.276986815001546,0.302278689125399,0.01,IRI-59-MGE-S167
9,NR_026330.1,1,1474,2,1441,97.7612,1.68996,32.8,4,53442,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium callanderi,1.68995929443691,0.508789944985059,0.30106639056924,0.01,IRI-59-MGE-S167
10,NR_026409.1,1,1495,17,1467,98.1271,16.4829,38.7,1.71,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,16.4829431438127,2.56212175843871,0.155440793314904,0.09,IRI-59-MGE-S167
11,NR_026493.1,1,1488,28,1483,99.664,27.0746,37.3,2.18,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,27.0745967741935,3.94964264709107,0.145880017347321,0.14,IRI-59-MGE-S167
12,NR_028736.1,1,1544,1,1415,91.6451,0.916451,37.2,60,1338,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus intermedius,0.916450777202073,0.276800241088528,0.302035033385644,0.01,IRI-59-MGE-S167
