index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024570.1,1,1450,3,1427,98.4138,2.84483,18.6,1,562,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,2.8448275862069,0.510812156550609,0.179558212605669,0.04,HEN-9-DRS-S104
1,NR_025230.1,1,1411,1,1358,96.2438,0.962438,19.1,20,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,0.96243798724309,0.190201858661306,0.197625053439693,0.01,HEN-9-DRS-S104
2,NR_025514.1,1,1518,18,1504,99.0777,16.8788,18.3,45.4,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,16.8787878787879,2.8894937286159,0.171190831318357,0.23,HEN-9-DRS-S104
3,NR_025566.1,1,1362,1,1010,74.1557,0.741557,14.5,32,1300165,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia,Kosakonia cowanii,0.741556534508076,0.437939786428442,0.590568306054989,0.01,HEN-9-DRS-S104
4,NR_025569.1,1,1494,4,1464,97.992,3.73427,16.5,1,208962,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,3.73427041499331,0.692271639803953,0.185383371548146,0.05,HEN-9-DRS-S104
5,NR_025863.1,1,1411,1,1351,95.7477,0.957477,20.4,60,46125,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,0.957476966690291,0.20185068914974,0.210815190518345,0.01,HEN-9-DRS-S104
6,NR_025904.1,1,1536,3,1473,95.8984,2.71029,16.9,1,29391,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,unclassified Bacillales family,Gemella,Gemella morbillorum,2.71028645833333,0.686812717863545,0.253409640797119,0.04,HEN-9-DRS-S104
7,NR_026331.1,1,1488,1283,1488,100,1221.96,18.9,6.32,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,1221.95900537634,160.186270396339,0.13108972534394,16.24,HEN-9-DRS-S104
8,NR_026332.1,1,1487,9,1463,98.386,8.41762,16.6,1,622,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,8.41761936785474,1.36965242335748,0.162712563196659,0.11,HEN-9-DRS-S104
9,NR_027196.1,1,1342,1,1289,96.0507,0.960507,17.6,1,449673,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,0.960506706408346,0.194838037558567,0.202849221414738,0.01,HEN-9-DRS-S104
10,NR_027549.1,1,1473,81,1473,100,75.6864,18.1,4.27,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,75.6863543788187,11.2940892018253,0.149222264627744,1.03,HEN-9-DRS-S104
11,NR_028682.1,1,1538,3,1468,95.4486,2.77503,20.9,37.7,137732,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella elegans,2.77503250975293,0.673970574997602,0.242869434008039,0.04,HEN-9-DRS-S104
12,NR_028933.1,1,1472,3,1431,97.2147,2.80163,17.2,0.333,134605,Bacteria,unclassified Bacteria kingdom,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium equinum,2.80163043478261,0.58072137267616,0.20727979160507,0.04,HEN-9-DRS-S104
13,NR_029097.1,1,1374,5,1298,94.4687,4.49636,17.6,0.8,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,4.49636098981077,1.23716478165875,0.275148010682926,0.06,HEN-9-DRS-S104
15,NR_040877.1,1,1494,8,1455,97.3896,7.33735,17.4,0.625,537011,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri,7.33734939759036,1.38791451478273,0.189157479026218,0.1,HEN-9-DRS-S104
16,NR_041277.1,1,1490,435,1489,99.9329,408.464,18.8,56.7,484018,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius,408.464429530201,68.637310060055,0.168037422839973,5.51,HEN-9-DRS-S104
17,NR_041313.1,1,1485,2,1443,97.1717,1.90976,20.8,17.5,338188,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides finegoldii,1.90976430976431,0.372494701845874,0.195047472581496,0.03,HEN-9-DRS-S104
18,NR_041343.1,1,1492,30,1455,97.5201,28.2111,19.2,58.6,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,28.2111260053619,4.78151028257476,0.169490231679018,0.38,HEN-9-DRS-S104
19,NR_041351.1,1,1493,9,1454,97.3878,8.30944,19.3,23.4,357276,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola dorei,8.30944407233758,1.59149819786062,0.191528841641617,0.11,HEN-9-DRS-S104
