index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024815.1,1,1490,2,1439,96.5772,1.88993,30.3,7,228603,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella shahii,1.88993288590604,0.408069208638286,0.215917301445684,0.01,LAM-2-DRS-S16
1,NR_024841.1,1,1460,1,1438,98.4932,0.984932,37.5,1,888807,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sanguinis,0.984931506849315,0.121867165379883,0.123731614363442,0,LAM-2-DRS-S16
2,NR_025230.1,1,1411,24,1411,100,22.6634,32.5,2.08,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,22.6633593196315,2.53865096202059,0.112015651617082,0.11,LAM-2-DRS-S16
3,NR_025514.1,1,1518,473,1508,99.3412,447.66,31.9,37.1,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,447.660079051383,75.495640236071,0.168645013859736,2.15,LAM-2-DRS-S16
4,NR_025518.1,1,1494,169,1467,98.1928,157.607,33.3,37,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,157.607095046854,33.4733888246404,0.212385037708419,0.77,LAM-2-DRS-S16
5,NR_025567.1,1,1498,28,1476,98.5314,26.4279,32.4,12.6,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,26.4279038718291,4.80569090512379,0.181841546284964,0.13,LAM-2-DRS-S16
6,NR_025569.1,1,1494,3,1464,97.992,2.88086,31.3,1,208962,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,2.88085676037483,0.476361870689112,0.165354236712252,0.01,LAM-2-DRS-S16
7,NR_025796.1,1,1435,7,1343,93.5889,6.39024,32,4.29,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,6.39024390243903,1.74677695122133,0.273350591603338,0.03,LAM-2-DRS-S16
8,NR_025981.1,1,1477,8,1440,97.4949,7.16926,31.6,3.88,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,7.16926201760325,1.792351352554,0.250005000257084,0.04,LAM-2-DRS-S16
9,NR_026075.1,1,1468,6,1355,92.3025,5.1451,29.7,3,13335,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,5.14509536784741,1.75765822367525,0.34161820102678,0.03,LAM-2-DRS-S16
